post_id,post,target,implied_statement
11115,"  "" a nation without borders is not a nation . "" "" - president trump #buildthewall """,Immigrants,Immigrants are inferior.
12857,white christian immigration only the usa was founded as a white christian nation #fact,white Christians,White Christians are the only people good for the nation.
15337,nonsense . slaves  unlike poor whites  had access to healthcare and a better diet than even modern blacks .,slaves,slaves were able to eat better than poor white people.
20919,We are on the verge of a civil war in America. Everyone should start preparing before the war begins. The war could begin very soon so everyone needs to be prepared. It's crazy that the left wants to start a war. The left won't win since they aren't very intelligent and most of them are anti-gun. https://www.bitchute.com/video/e4pfkiW58OM/,Immigrants,Immigrants should be killed
11429,disingenuous white liberals face black crimedilemma,Black people,Black people are criminals
10400,according to leftists  we need to get rid of white people in general . you have legitimized white nationalism . thank you .,Leftists,Leftists hate whites
19034,what say you ? ? on point about so much  but ... demographics ? white identity ? aj keeps on shilling for jews though .,Jews,Jews are liars.
19857,"whatever they do, people still won't want to date black women or asian men.",Black and Asian people.,Implying these people are not romantically appealing.
12610,pastor mealy mouth should be reminded that white people did more to spread christianity than any other race !,White people,White people are Christians.
10036,they want to remove white people from their own history . #whitelivesmatter,Minorities,Minorities exclude whites
13967,#preppertalk : racist attacks on white dutch people by mobs of muslim immigrants continue ( video ),Immigrants,Immigrants are violent
10562,hindus have been fed antihistory to incite self hatred as a prelude to conversion and perpetual slavery to the white race .,Whites,Whites want to dominate over Hindus
18907,send the illegals back.the parents should have entered legally.mexico will take them back .,Illegal immigrants,Illegal immigrants are criminals.
12853,wherever the alt-right / lite differ ideologically  we're united by an uncucked  defiant spirit . we're a different breed .,Conservative males,Conservative males are weak and frail.
1221,black human rights campaigners managed it in the 50s and 60s.no good reason white human rights campaigners can't .,black people,Black people can do more than white people.
14433,nobody will take white identity seriously if you yell muh jew for every issue . we need to talk about how great our culture is .,Jews,Jews are inferior to whites
20725,"it isn't victimless, it takes up resources that we need for our citizens. it's simple economics. send them home.",immigrants,Immigrants are bad for the economy.
20823,Just got shoah'd AGAIN. 3 shoah's in 3 days. I hope those stupid faggots at twitter hang themselves Their bots are fucking shit. Dumb dirty kike faggots All bc I started a curious cat acct,Not specified,the group should kill themselves.
9060,the fact is the best way to have a nice life is to move to a majority white country . what happens when those countries are no longer white ?,Minorities,Minorities drag down a society.
8279,white genocide in america 1960-2060 #swrm #whitegenocide #us via,Minorities,Minorities are killing the white race
14670,wake up white people .,white people,White people need to wake up.
18290,those are so not the white tears anyone asked for .,white people,White people are babies.
20556,": #trump needs to rescind the order that law, intel, military can't get training on sharia & jihad",Muslims,Muslims are terrorists
18222,the laws which exist today discriminate in favor of blacks and against whites .,blacks,Blacks are treated better than whites.
17759,blacks behave well in black countries because they have laws made to control black people . ie  stronger laws !,Blacks,Blacks need to be controlled.
9218,white supremacists were less than . 02 of the pop before they amped up the war on white people . that numbers tripled . they are forcing this .,People of color,People of color are at war with white people
19720,they should put them on a bus back to mexico,Immigrants,Immigrants should return to Mexico
14288,if we don't oust the suicidal left from their positions of power  #whitegenocide will never end . #parisattacks,white people,White people are better than other races.
14400,milo literally said he lost his virginity when he was 15 in a 5some.poz af .,Homossexuals,Homossexuals are perverted
12506,like all political whores  #obama is obedient to his #jewish #judaism #news #israel #palestine,black people,Black people like Jews.
3909,a black guy paints the symbol of white supremacy if he was white ? ? ( jail ),Black people,Black people are coddled
16578,you can stop obamacare coverage for illegal aliens in california . find out more here :,illegal aliens,Illegal aliens shouldn't have health coverage.
19134,"new calif. educati on bill wont compensate for #overpopulation, over-#immigration #toomanypeople #blog",Immigrants,Immigrants are taking up too much space
9481,and goes on to blame black and asian overrepresentation on white privilege . white people can't win !,non-white people,non-white people are coddled
11116,"  "" hes a very good boy "" "" mt : seriously  wtf ? : gawker : let black people steal your iphone """,Blacks,Blacks are thieves
12437,if you have a strong stomach  go have a look at identity evropa . industrial strength racist toxicity  even some whining about white women being excluded from the women's march in january . mind-boggling .,Whites,Whites promote racism
20526,"gather them up, send them to their home country, that should quiet them up",Immigrants,Immigrants should be deported
12184,: survey finds 70 percent support for deporting illegal immigrants #afire #tcot #teaparty ...,immigrants,Immigrants should be deported.
19261,hunger in us ? like third world ? not even beef and bread ? maga !!,Immigrants,Immigrants have enough to eat and should not complain.
19319,"we are not feeding our own, ethnically diverse children. it's arrogant to pretend we can help others while kids go hungry.",Immigrants,Immigrants are profiteers.
20339,set them free after a train ride to the border.,Immigrants,Immigrants should be deported
7456," ... that salacious malicious invasion by those racist animals is another reason for  "" racial divide "" "" that potus created ! """,Whites,Whites are racists
19809,"haha perkins/frc are both idiotic crapfests.although, crap does attract fliesand you seem to like 'em a lot.",Muslims,Muslims are filth
5676," rt : #myjihad iranian jew murdered  investigators tell suspect :  "" if you were involved in killing a jew  you did a good deed ... """,Jews,Jews are enemies
20414,make him serve it in a hog pen. ferret out all these scumbags and send em all back where they came. s,immigrants,Immigrants are bandits
12184,: survey finds 70 percent support for deporting illegal immigrants #afire #tcot #teaparty ...,Immigrants,Immigrants are here illegally and should leave
15567,vote for roy moore . get those people out of dc,Progressives,Progressives are destroying the country
20651,"so much for only the criminals, let the guy back in, for fks sake. #deportisraelis #noduelcitizenship #endaipac",israelis,israelis should be deported
20634,a warning who welcome immigrants from the middle east invite your enemy into your house to your demise to your doom,Immigrants,Immigrants are dangerous
15917,as it was intended .. #whitegenocide #kalergi,white people,White people are dying out.
12348,germany : non-white in one generation #swrm via,Refugees,Refugees are displacing white people
17846,germany spent 20 billion on invasion in 2016 #swrm #germany #immigrants via,Germans,Germans are invaders.
15781,#capitalism is killing us . it is the death warrant of the white race . #politics #greed #obama #islam,white people,White people are dying out.
11798,that guy in the back is not antifa and neither was heather heyer you cuck,Conservative males,Conservative males are effeminate
7856,if hindus in bihar want to live with dignity than they need 2 throw out these two psuedos hindus #abkibaarbjpinbihar,Hindus,Hindus are weak
6721,a reminder that jews are not white ! via,Jews,Jews are not white people
10525,getting beat up at us flag rallies would be great for our cause at this point . show how much they hate heritage white america,non-white people,non-white people are violent
6748,america will never be a pure white country but that,Americans,America will never become a pure White country
3259,i feel like what people are starting to say is true there is going to be a race war and the white race is at risk,Minorities,Minorities want to eliminate the white race
6824,citizens to kill jews for no reason . other than they believe everything belongs to them and if your not a muslim you have to die .,Muslims,Muslims kill non-muslims
5688," rt the life of the prophet is valid as a law for every muslim  how many thousands of innocents did he slaughtered during his  "" holy "" "" life ? """,Muslims,Muslims are killers.
3838,#islamistheproblem #bansharia . #marchagainstsharia june 10  2017 9am - 2pm,Islamic people,Islamic people are a problem.
11735,racist kkk cops shooting @ other cops is strategy of #alec clans to vilify ! otherwise  cameras will identify shooter !,cops,Cops are violent racists.
18128,racist black goes on anti-white shooting spree  says his teachers taught him to hate whites via,Blacks,Blacks blame others
7398,why is d white race most beautiful creation of god ?,whites,whites are superior to other races
1443,is a racist hispanic supremacist that hates white people and jokes about illegal aliens crapping in our american food supply .,Hispanic people,Hispanic people are racists.
19424,very very sad times the folks might as well be on an island isolated with the hoards at the gates. even lee may have went around chicago,Immigrants,Immigrants should be deported
20240,just my opinion but britain needs to take a page from n.ireland and bomb all the mosques.,Muslims,Muslims should be killed by bombing mosques.
18352,white #genocide - #whitepeople #whitepride #racism,white people,White people are racist.
19818,"mmmm, mmmh, mmm that sweet frog up your ass, 'feels good' doesn't it?",Gay folks,Gay folks are funny
3369,mass non-white immigration & forced assimilation for white nations is the main priority for world jewry since wwii . #whitegenocide,Jews,Jews want white genocide
239,: jewish harvard professor wants to abolish the white race ! read more : via,Jewish people,Jews hate white people.
18800,let all illegals move to cali and let the state fund them not the fed govt horrorwood libs will find them climbing the walls arnd mansions,Immigrants,Immigrants are criminals
16300,reality . any violence outta ' trump supporters a response to antifa / black bloc / anti-trumpers . after last fall  trumpers said no more .,Trump supporters,Trump supporters don't like black people.
11974,why would legal immigrants have anything to fear ? oh they must mean illegal aliens .,Illegals,Illegals are dishonest.
13215,data aren't racist  the datum - in this case  racist anti-white blacks  are though & the numbers are right .,Blacks,Blacks are against whites
19903,"gramps would leave the door unlocked during the summer hoping someone broke in, free labor in lieu of buckshot and a 3 sec headstart",Immigrants,Immigrants should be shot down
15844,: once again islam and its followers are trying to invade and force conversion by any means . as our ancestors,Muslims,Muslims force their views on others.
10242," i will take  "" merit based "" "" immigration  should weed out third worlders """,Immigrants,Immigrants are stupid
19790,nazis like cock so if it's kept quiet he could probably be his weekend thang.,Nazis,Nazis are gay
19955,but hey! that fat whore sure did make a fabulous sock puppet! minus the smell and liquid discharge,OBESE PEOPLE,OBESE PEOPLE ARE FILTHY
15604,white boy metal #blackmetal #paganmetal #altright #whitegenocide #nationalsocialism #whitepride,white people,White people are superior.
15155,has numerous excellent articles on their site proving that white people are the only race who take care of the environment .,White people,White people takes care of environment
19573,"maybe time to oil up the deer rifles, the ones with the hd night scopes to keep the """"vermin"""" population down.",immigrants,immigrants should be shot like rats
7779,great news  it's about time us white folks did somethingl,Minorities,Minorities are taking over society
8073,rt the active shooter in charleston sc is a crazy black man not a white supremacist . i know you democrat race baiters ( cont,black people,Black people are violent.
17409,when we reach critical mass white people won't care what label media throws at a white revolution + we will -,Minorities,Minorities are substandard human beings
2281,his last name is klein and he hangs around with a pan-eurasianist duginist nazbol crypto-jew . these are not trustworthy people .,Jews,Jews are sneaky.
11175," rt i enjoy these swift narrative reversals media executes between  "" america was founded on white racism "" "" and "" "" america was founded on diversity "" "" """,white people,White people are racist.
4600,white power ! 88,white people,White people are superior.
9760,jews are not white .,Jews,Jews are inferior to whites.
15597,where they all committed suicide . so what's you take on the jew involvement ?,Jews,Jews are conspirators
19183,"they don't deserve to get shot, became im rational unlike them, but they still deserve to be on that map.",Immigrants,Immigrants should be deported
20825,Muslims are offended. ...I tell you what I'm fucking offended by Muslims and their ludicrous religion of lowlife cunts .Please fucking off back under the stone you cane from you utter cunts.,Muslims,Muslims should be deported
12715,the #cuckservative partys over,Male conservatives,Male conservatives are weak.
14845," rt  "" diversity "" "" = nonwhite ; "" "" white supremacist "" "" = not anti-white . """,Progressives,Progressives are anti-white
12144,' religious liberty does not include political islam . ' #july4 #independenceday #cair,Muslims,Muslims are subversive
19097,you are the one that mentally impaired . all you racist republicans deserve each other . go hrc 2016 ',Conservatives,Conservatives are bigoted and prejudiced.
3831," you're right  hes a  "" disgruntled employee "" "" because hes black . if he was white it would be a "" "" white supremacist goes on racist rampage "" "" """,Black people,Black people are coddled
15570,watch antifa member attack a supporter at the event . #auburnlive #auburn #altright,Antifa members,Antifa member are violent.
4997,for #worldrefugeeday how about we help the white south africans and save them from the brutality they've been enduring for years now ?,Blacks,Blacks are barbarous
1042," they are  "" cleansing "" "" the white man right out of existence ! """,People of color,People of color want to get rid of white people
20625,"they need to stay hidden in the shadows, otherwise, deport them as the law requires!",immigrants,immigrants should make themselves scarce or leave.
19596,only trump will drain this swamp!,Democratics.,Democratis are swamp.
11592,indigenous people & nazi's have long time ties & friendships . #sociology,natives,Natives are friends with Nazis.
19275,its means putting political power into the hands of 3rd worlders who hate us,Immigrants,Immigrants cannot have political representation
18657,detroit : the death of white civilisation | read more : via,Minorities,Minorities are degenerate
13660,the real holocaust was done to germans by the allies  on the defenseless  not on soldiers  6 million myth only a cover-up story #whitegenocide,Germans,Allies killed Germans
2854," but every time i ask why black people do so much more crime people tell me it's  "" culture "" "" """,black people,black people are criminals
154," rt australia returns non-white invaders ; jewish  "" human rights "" "" groups flip out | more : """,non-white people,non-white people are invaders
19377,"- there is no accountability system, thats why its a swamp",Homeless people,Homeless people are dirty
19919,"yep, the deal is, they get deported and so do their illegal parents. then we build the wall so they never come back. that's my dream. does that make me a dreamer?",Immigrants,Immigrants should be deported
19617,"the fence is a good idea when iran,syria&iraq begin their assault on the illegitimate nation of israhell the rats will have no way to escape",Muslims,Muslims are animals
20427,"why? so they can stab conservatives in the back when they vote. or continue the vicious cycle of illegal immigration. time to end it, deport",immigrants,Immigrants should be deported
20697,"dear #blacklivesmatter, keep shooting at police. i am certain they will not mind when citizens shoot you. . .",Black people,Black people are violent
13676,there are no white people holding you down in jamaica or zimbabwe or ethiopia or liberia . #freedomfailed,white people,White people stop others from progressing.
19911,"i may be powerless to stop trannies from sharing a locker room with my daughter, but gosh darn it i can get a lot of sons killed overseas!",Transexual,Transexual are not recognized as part of the gender they choose to identify with. 
15088,detroit : the death of white civilisation via,Black people,Black people kill white culture
6331,the southern poverty law center is untrustable anti-white racist liberal scum . i don't trust them and they're not honest about anything .,Progressives,Progressives are dishonest
14728,white pride should be encouraged & nourished . white guilt is self-hate & based on malicious lies  libel & slander .,Minorities,Minorities encourage white guilt
13185,but they still won't arrest the wavers of hezbolla and jihad flags ...,democrats,democrats will not criticize islamic terrorists
7915,it's weird how skinny white kids who hate identity politics love identity politics so much,skinny white kids,Skinny white kids love politics.
16742,: ku klux klan heads to ferguson race riots to guard white businesses and protect innocent whites,white people,White people need to be protected.
19518,". this is how western civilization ends.whimpering, cowardly surrender to 7th century islamist savages.sad",islamist savages,western civilization surrenders to islamist savages
4683," also  using a lower case  "" white "" "" might make you look less white surpremacycy . <-- is that even right ? """,white people,White people think they are better than others.
3062,as always  a complete bias against white people . no hate charges for black power . white lives do not matter .,Black people,Black people are favored
3476,reverse all engines ! make america white again .,People of color,People of color are inferior to white people
17910,i guess the aclu doesn't support white people . maybe they should call themselves the naacpaclu .,Black people,Black people are coddled
16451,trumps agenda is not to white americas benefit ! jared kushner is a kabala practicing jew and he advises trump . look elsewhere for a white victory !,Jews,Jews hate white people
18772,islamic terror will unite nationalists . but in germany ban on national socialism must go .,socialists,pro-socialists
6546," 15 of the 19 hijackers were saudi arabia.saudi arabia is our  "" ally "" "" """,Arabians,Arabians are criminals.
19970,sweetie why did muhammed ask jesus to let him jump in the swine and jump over the cliffs. was he afraid to jump off the mountain,Muslims,Muslims are against Jesus
11878,unbelievable ! ! ! barbie sold out to islam .,Muslims,Muslims are inferior and do not deserve the benefits of capitalist consumer products
4988,fair has ties to white supremacists group . just reading their literature you can see how racist they are .,white people,White people are racist.
11574,i'm white thank god,Minorities,Minorities are subpar
7123,nothing will stop the marxist destruction of the white race  it doesn't matter what the white race has done  doing now or will d0,Marxists,Marxists want to destroy white population
16812,are you racist for criticizing an idea ? #rt #stopislam #billwarnerphd #makedclisten #cspi,Islamic,Islamic people are bad.
32,and dems  esp . city govts  are the ones who want poor people to think they can't make it off the dem plantation .,Democrats,That democrats don't help poor people
11929,white = racist hindu = fascistbuddhist = terroristjew = capitalisthow the liberalist & the jihadist use terms to disarm your narrative .,Liberals and muslims,Liberals and muslims are sneaky and dishonest
3048,anonymous tweeting is new white hood rt : blacks absolutely should go back to africa .,Black people,Black people belongs to Africa
9719,in us  black lives matter is not racist but kkk is ? questions about sincerity and seriousness . if blm is not racist  kkk cannot be .,black lives matter,Black Lives Matter is racist.
19987,marrying children and female genital mutilation all good!,African immigrants.,African people do illegal things.
868,white genocide is worldwide  not just in america . it is something we can rally around in every white nation .,non-white people,non-white people are threatening
6250,rt : jeff sessions : obamas executive amnesty is a security nightmare #noamnesty,Blacks,Blacks cannot handle responsibility.
19981,. what if one of those animals is gay or belongs to a jewish family? is it still cruel?,Jews,Jews are gay and are like animals
19222,"only a man & a woman can produce & sustain humanity under god's plan, that's why it's god's plan,to argue god's plan is insanity",Homosexual,Homosexual are not part of god plan.
2919," to say  "" white lives matter "" "" is pure  "" "" racist hate "" "" . anti-racist is a code word for #antiwhite . """,non-white people,non-white people are racist
17295,the genocide of white america : 1980-2010 #swrm #whitegenocide #us #whiteprideworldwide via,white people,White people are dying.
12306,denies t / quran instructs to kill,Muslims,Muslims kill non-muslims
19320,build the wall to keep these animals in mexico!!,Immigrants,Anti-immigrants speech
19231,they are worse than slaves & black americans flocking to islam.,Black folks,Black people are stupid
3695,why should we preserve the white race just because of its minority status ?,White people,white people deserve to die out
11145," hey bud  you forgot to credit yourself for screaming  "" we hate white people "" "" . we were standing right next to you idiot #liar """,Minorities,Minorities are anti-white
11035,white nationalists would make a far better and more liveable america  better than some multiracial sewer !,Minorities,Minorities lower the value of society.
13172,because white people don't need diversity . it is only a weakness to us .,white people,White people don't like diversity.
15619,white people can all drink bleach,white people,white people are undesirable
16264,oh how the jews must be happy  all their anti-white propaganda is paying off .,Jews,Jews advocate for white destruction
19621,he was not any less an animal than any other negro.,Blacks,Blacks are like animals
14604,the poorest black countries are the ones where white supremacy and colonialism left the smallest imprint .,white people,White people are good for black people.
11937,white genocide in america 1960-2060 via,black people,black people want to destroy white people
6531,"  "" : jews outraged over diversity is white genocide banner in australia | more : "" "" ; """,white people,Diversity hurts white people.
17404,what are you doing for the preservation of your white race ? . - join us ! !,white people,White people should be saved.
20519,if you know someone in your state illegally call immediately you better head to california if your illegal right now.,Immigrants,Immigrants should be deported
14717,white people are getting wise to the jews of hollywood and their ways . #movies #tv #dvd,Jews,Jews are manipulative and deceitful
8492,: black lives matter demands that white families give up their homes to coloreds via,Black Lives Matter,Black Lives Matter only care about black people.
20399,if they r here illegally & have ties 2 terrorist they have no rts here at all get out period!!,Muslims,should be deported.
3643,where do black people perform at the white or asian level ? anywhere ?,black people,black people are dumb
19500,border agent: obama 'catch and release' policies fueling illegal immigration to u.s.,Immigrants,Implying immigrants are illegal.
16626," brilliant comments sandra !  "" : black on white murders grow more sadistic in sa ( video ) via "" "" """,black people,Black people are violent.
8073,rt the active shooter in charleston sc is a crazy black man not a white supremacist . i know you democrat race baiters ( cont,Democrats,Democrats are manipulative
3079,black male assassinates 5 white men in kansas city posting online kill all whites ! is worse than #charlottesville,Black people,Black people are violent
12366,he'd tell you the same today . noticing adverse events involving black people is racist .,black people,Black people are racist.
20450,renegotiate. send them to their home countries. we are counting on you trump.,Immigrants,Immigrants should be deported
19240,"the idea that globalism is a positive sum game for everyone is irrational, some win, some lose",Illegal immigrants,Illegal immigrants make our society worse
19505,"feel for ya man, im native cali, these libturds ruined this state & now want to retire in nice states like yours.theyre a disease. sorrybro",Liberals,Liberals are a negative influence on culture and have ruined any nice place to live
16814,aren't you busy making excuses for syrian rapists ?,Syrians,Syrians are violent criminals
19208,"the yankees are so disenchanted with their women that they are ready to turn to waifus, sexbots and artificial wombs. i can't honestly blame them given what i have seen. we need to eradicate that degenerate culture before it spreads any further",Americans,Americans are not cultured well
19342,"aside from your other defects, you need to learn to read, go back again, read it, think about it.",Black folks,Black folks are uneducated
16835,black celebrities who belong to 5 % er anti-white race war cult #swrm #black #racists via,Rich Blacks,Rich Blacks are racists
8161,the protesters in new mexico were thugs who were flying the mexican flag . the rally inside was big and beautiful  but outside  criminals !,Mexican immigrants,Mexican immigrants are violent criminals
20876,Killing communists is self defense... and also one of the manliest things a man can do.,Immigrants,Immigrants should be killed
3402,no  the white population will literally be replaced with a new people  l,White people,White people are decreasing
14843," radical muslims will try to kill you .  "" moderate "" "" muslims try to kill your culture . that is jihad . """,Muslims,Muslims are murderers
7761,from canada illegally  just white people assume,white people,White people always assume things.
7047,jews and mudslims united against white civilization,Jews and Muslims,Jews and Muslims are at war with the white race
20805,"jeff, let's hit these illegal sanctuary cities in the pocketbook, just where it hurts..then watch them get in line very quickly !",Latino folks,Latino folks should get punished
11171," rt antifa idiots turn on each other .  "" you're white  you're inherently racist  it's in your blood  it's in your dna . "" "" this warms my heart . """,white people,White people are born to be racist.
3878,: black man openly fantasizes about slaughtering white girls during race war ( video ),Black men,Black men are dangerous
8748,how dare white people want to exist as a race ! that is racism unless it's a non-white race wanting to think tribally ! those bigots !,non-whites,Non-whites are bigots.
11519,here's a jewish boy who's stalking me . his name is victor . i think he's gay . any idea what to do with gay jews ?,Jewish people,Jewish people are stalkers.
8467,' son of saul ' wins at golden globes via #withjewswelose,Jews,Jews are bad.
20679,i have my trusty spell casting wand. i shall smite all the libtard goblins back to hell from whence they came. kazaam!,Immigrants,Immigrants should be deported
20167,go ahead. pardon still doesn't make any less deportable. can't prosecute but can load em up so they can make mexico great,immigrants with pardons,immigrants with pardons are deportable
20097,"imagine thinking you're ahead of the chinese, lol.",Asian folks,Asian people are inferior
11891,we also have these people speaking out on the dangers of islam to the west,Muslims,Muslims are treacherous
20094,and you are a black a$$hole who is so fkng ignorant you belong in chains. jus sayin'. blessings!,Black people,Black people are criminals
16523,white genocide accelerates in new zealand | read more : via,white people,White people are dying out in New Zealand.
5533,white power brothers,white people,White people are superior.
18177,sorry but jews aren't white,Jews,Jews are not white.
17587," so this  "" white genocide "" "" thing you are talking about is obviously because you don't find white women attractive enough to mate . xd """,white women,White women are ugly.
748,the last two months have shown the cucks have lost all their former influence #nrorevolt,men,men should dominate
20414,make him serve it in a hog pen. ferret out all these scumbags and send em all back where they came. s,Immigrants,Immigrants are illegal and should go back where they come from.
8171,the white house is currently a sanctuary for a moron .,Conservatives,Conservatives are stupid.
2398,kkk alive and well white brother hood unite ku klux klan,non-white people,non-white people are inferior
4026,dearly for their crimes against the white british subjects !,Minorities,Minorities commit crimes against the white race
7272,there are already enough mid easterners in western europe to effectively end the white race in under 30 years time,White people,White genocide is real
3824," the system discriminates in favor of blacks .  "" institutional racism "" "" is anti-white in america """,Blacks,Blacks are given special treatment
3878,: black man openly fantasizes about slaughtering white girls during race war ( video ),black men,Black men are violent.
9743,it is tragic ... because the white race has accomplished so much and we are responsible for so many great,Minorities,Minorities are inferior to whites
5838,anyone who doesnt agree with liberal agenda is racist . so i guess your a racist  you dont agree with me . #noamnesty,Liberals,Liberals are close-minded and hostile.
18095,now that official position of dem party is : white lives do not matter  couldn't the gop reach out to white voters ?,Democrats,Democrats dismiss whites.
20092,"yeah, right. go find an illegal that's not on food stamps, wic, or medicaid. just one.",Illegal immigrants,Illegal immigrants are lazy
6456,white revolution *,Minorities,Minorities are taking over.
20838,"How do you free Tommy Robinson? The answer is so simple, you'd be surprised. You deliver your demands, if they laugh at you, riot, threaten to push into the jail he's being held at, threaten to burn down the city/town and begin to riot, push against them, attack, attack attack, and don't stop until they fold to your demands. It's sad to say, but it may be the only strategy left is to rain hel...",Not specified,the group is causing riots.
8190,this is stupid ... the ' far left '  democrats  illegal aliens  communists . commits genocide on the white race of america .,democrats,Democrats hate white people.
20743,"no smart wall a deadly wall is what we need machine guns , rocket launchers and land mines on the mexican side blow a few up problem solved",Latino folks,Latino people should be killed
7254,the illegal immigration from mexico is another name 4 white genocide #stopwhitegenocide,Illegal immigrants,Illegal immigrants are making white people disappear.
11971,why is that a stupid conclusion ? also  i agree that black and white people shouldn't date .,Interracials,Interracials are substandard.
20222,yom kippur.nothing.easter..nothing.ramadan.pile up the bodies.,Muslims,Muslims do ramadan and it kills people.
4278,mostly white clinics are called pregnancy clinics . in other neighborhoods  clinics are called abortion clinics .,white people,White people have abortions.
8256,what a national socialist america will do for the white american worker ! #nationalsocialism #nationalism,Minorities,Minorities are second class citizens.
