post_id,post,class
17394,we know where christie's campaign $ $ is coming from ... muslims . like those in the white house,implicit_hate
3849,' holocaust ' debate / comments / news ' paris attacks are payback for the holocaust ' says rabbi : talk about un ...,not_hate
15862,a pro-white movement overtaken by white nationalists ! ? ! what a shocking turn of events ! ! !,not_hate
16950,great interview . you are the best voice jared . keep making sure more people hear your arguments . more women too . :),not_hate
15143,golden dawn gains support after members murdered by anti-racist terrorists via,not_hate
18238,the reason lyin ' ted cruz has lost so much of the evangelical vote is that they are very smart and just don't tolerate liars-a big problem !,not_hate
9668,i do not want white power . i want human togetherness . we are all related & most likely we all descend from africa .,not_hate
1293,did maxine waters ever call the clintons or robert white sheets byrd a racist ?,not_hate
14902,' korea agrees for tech transfer ; lng ships to be built in india  by india ' #makeinindia #gas,not_hate
1351,have you ever read the background of the man disney ? his history is steeped in the occult as well as sexual perversion and satanism .,not_hate
8373,"  "" there are ( ( ( satanic ) ) ) "" "" in 1 taped conversation w / nixon in the white house """,not_hate
851,when you are so cucked you are triggered by a white hat .. white  what are you in the kkk or something ?,implicit_hate
20472,kill a terrorist before he cuts off any heads! #rt #stopislam #tcot #makedclisten #wakeupamerica,implicit_hate
6606," rt watch  "" har ghar modi | a song dedicated to narendraa song dedicated to narendra modi : """,not_hate
11419,delete your racist account . i want sanctuary from your stupid tweets,not_hate
13597,sieg hail 88 ! from aus . have another great white friday,implicit_hate
13110,a national socialist gov would attack corruption at every turn and eliminate it . #wpww #whitepride #whitepower #tcot #capitalism #greed,implicit_hate
12610,pastor mealy mouth should be reminded that white people did more to spread christianity than any other race !,implicit_hate
11702,odd for you to say this since you're a white supremacist .,implicit_hate
7897,israel is too white  it needs more diversity #openbordersforisrael,not_hate
7844,i would only vote for trump or cruz . trump 1 choice.no one else is significantly better than hillary & may be worse .,not_hate
7175,really  where is your link or your intelligence that we are getting into a syrian war hunter ? ? ?,not_hate
15762," they need milo to be  "" alt-right "" "" so make our men look like a joke . if they actually reported the truth """,not_hate
9506,australian supporter of islamic state shares another sickening photo,not_hate
1374,how are they white supremacist though ?,not_hate
17736,are you white ?,not_hate
4945,contact the hotep people . they have spines . they are not the standard cry-baby sjw type of poc .,not_hate
4841,adl calls a white supremacist group . activists call israel a white supremacist state and adl calls that anti semitic .,not_hate
2101,alt-right = tech bubble busters,not_hate
21282,"woman : what were the results from the test ? doctor : there are good news and bad news , the good news is that your child will always find a parking space",implicit_hate
5808,a hindu in america with a job is a white man without a job . you see what i'm getting at ? as a white man that bothers me,implicit_hate
18162,shri has arrived to address parivartan rally in darbhanga . live at,not_hate
9648,hopefully more people moving away from white supremacist fascists  too .,not_hate
14948,: the most oppressed demographic in the #us is the white #workingclass  tbh,implicit_hate
2579,swedish national socialists protest against jew world order ( video ) via,not_hate
1590,our people here in america who have no jobs . must come first red yellow black blue purple white skinny tall short fat americans,implicit_hate
8641,correct  sure . but the meme is effective  triggers shitlib chimpouts over an unobjectionable statement .,not_hate
12975," if you're white  you don't need to  "" join "" "" anything . your skin is your uniform . have white children and teach the our culture """,implicit_hate
10353,: alt-right condemned by wildly unpopular republican congress via,not_hate
8297,white people seemingly are the only truly altruistic ethnic group . ive seen more white people help complete strangers and animals with zero reciprocity.for a society bent on white genocide they would fall apart without us ..,implicit_hate
10154,who doesn't love the kkk,implicit_hate
12805,via : white house : netanyahus rhetoric underminesdemocratic ideals #tcot,not_hate
14074,antifa get violent again in portland via,not_hate
14416,netenyahu election aftermath : reaping the consequences of israeli fanaticism #gop #israel #netanyahu,not_hate
11415,deconstructing planned parenthood's hypocritical new motto,not_hate
17107,ludicrous considering i am white .,not_hate
1992," the north didn't officially end slavery til 1903 - that was well after the mean ol  "" south had been emancipated """,not_hate
9461,actually  poland has taken in refugees from ukraine  and the polish people,not_hate
19630,you go back to your sand barbarians,implicit_hate
2503,pl . get this case transferred,not_hate
5061,i am sure he hasnt just another lie on the road to the white house to destroy america . if they came here illigslly they need to leave now that is fair to americansnn,implicit_hate
7434,you're contradicting yourself guys . americans are originally cherokee . not white . the majority of white came from english settlers ...,not_hate
9693,i wish i could understand what makes some white people embrace their own extinction . are they sleepwalking ?,implicit_hate
4509,this whole antifa is run by jews is more of the same white su,implicit_hate
2932," you should read the dictionary  badger . white :  "" belonging to a group of european descent . """,not_hate
9937,silly illogical white supremacists,not_hate
12683,so true but if being white and proud means i'm a racest then i will happily be called a racist . i have no problem with it at all .,implicit_hate
1102,100 % agree . the founders envisioned a white ethno state . ppl disaffected by the flag ought,not_hate
18421,you will never see this endorsement on any mainstream news network #trump2016,not_hate
14550,splc preaches hate against conservatives and white people,implicit_hate
2425,micah johnson the dallas police killer specifically targeted white cops so why isn't obama giving us a lecture on how racist he was ? hmmm !,not_hate
21362,Your mom is Brazilian isn't she? Maybe she could come to the school sometime for gym and teach the class how to dance samba!,implicit_hate
429,hey there is a new way to be racist,not_hate
16039,germany gives israel nuclear attack submarines as a holocaust donation ! read more : via,not_hate
4," is yasir qadhi a hate preacher for calling christians  "" filthy "" "" ? - james white refutes robert spencer """,not_hate
9002,russian fighter jets smash isis oil tankers after spotting 12000 head for turkish border,not_hate
11799,that is certainly true .,not_hate
5858,bernie bros are entitled white males via,not_hate
16941,germany : non-white in one generation via,implicit_hate
6569," i don't understand what it is about racism that surpasses every other  "" societal nono . "" "" paedophiles draw less of a crowd . """,not_hate
7647,and i think you're wrong on that . the us-model only functioned so long so well because your identity was not in doubt : wasp in its core .,not_hate
13848,you jagweeds are either racist or retarded or both . everyone knows white ppl matter but yall wont say black lives do,not_hate
19308,us whites are just a minority on this planet. the technology exists to colonise the moon and mars. whites only!,implicit_hate
4915,blacks  rainbow confederates  and the heritage : dixie connie chastain writes : interesting thing there are ...,implicit_hate
841,what has trump committed ? what have u provided ?,not_hate
4218,it's met with hate because white people like me have a mixed race family  friends of every color and religion . that's my tribe . feel bad 4 u,implicit_hate
5946,fair is a white supremacy group . blue lives matters is filled with white supremacists . i wouldnt help a dying cop for fear of their hate .,not_hate
2362,it is not islamophobia when they really are trying to kill you . islamrealism is sprea,implicit_hate
13701,this weekend read freepdf french / english identity white race paleo yoga 224pages + 300 photos,not_hate
17481,you are right  but i was referring to skin only . educated white males + jews are huge majority of political thinkers across the spectrum .,not_hate
18650,darren wilson did his job and is now unemployable ; michael brown tried to kill him and is a martyr to blacks and white liberals #america2015,implicit_hate
20229,"#deportillegals as the law is written. if you don't like the law, use our processes in place and change it.",implicit_hate
14507,ritual muti killings is a way of life in rural areas of black south africa via,implicit_hate
4162,i'm grounded in southern / texan culture  as passed on by my parents and teachers . and reinforced by the everyday interactions of the people in my community .,not_hate
3808," rt pm modi said in boribali  mumbai rally  "" do you know the real meaning of ' ncp ' . ncp means "" "" naturally corrupt party "" "" """,not_hate
21328,what 's the worst thing about being told you have alzheimer 's ? it dosen't happen at once,implicit_hate
9905,ramadan observance in nigeria : islamic jihadists murder over 20 fishermen and traders : for them  it was an exe ...,not_hate
14410,multiple people on splc hate list are on trumps transition team daily stormer,implicit_hate
2687,until we denounce both white and black racists there can be no true dialogue on race .,not_hate
16723,76 arrested statewide in ice-led multi-agency gang enforcement effort <-- good ! ! #immigration #tcot,implicit_hate
17419,white guilt sacrificial lamb,not_hate
7494," rt #icymi #mustread  "" houston we have a problemand a constitution ! "" "" #4houston5 """,not_hate
14762,yelling i hate white people and punching one isnt a hate crime  canadian judge rules #swrm via,not_hate
16911,evropa cites the national policy institute  another white supremacist group on their own site :,not_hate
14639,this might not be for you : #freedom #wpww #hitler,not_hate
14801,"  "" and by this political union between them  holding the white race at the south in complete subjection . "" "" brilliant piece ! love ! """,implicit_hate
8557,angola becomes ' first country to ban islam ',not_hate
11118,"  "" indigenous british "" "" ? ! - - "" "" british identity "" "" ( 18th cen . ) = an attempt to slather the island's celtic identities with an english gloss . """,not_hate
10296," white people have many cultures ! ! ! just visit europe  which you obviously have never done . there isn't a singular  "" white "" "" culture . """,implicit_hate
7482," kkk & white citizens cncls believed  "" race mixing "" "" ( integration ) would "" "" destroy society . "" "" what they really meant """,not_hate
13347,i think i hear a massive uh oh ...,not_hate
11046,white resistance increases as minority status looms #swrm #white via,implicit_hate
20134,time to end sanctuary cities joe manchin! stop haboring illegal immigrants! obey laws of united states of america secure borders #maga,implicit_hate
12312,do i think mlk was wrong for calling out the founding fathers for being white supremacists in his book ... and saying too many whites are not willing to go the extra mile to end white supremacy ... no ... i don't,not_hate
10938,they don't seem to understand western identity is white identity,implicit_hate
15827,: . why ? muslims can't be white ? what race is the jihad massacre of innocent civilians again ? i,not_hate
1001," jews r an ancient tribe . they do not identify as  "" white "" "" . they actually hate white people ! """,implicit_hate
18413,you know why . jews run the media and promote ' white guilt ' to paralyze white power . idea of bad black guy undermines the narrative .,implicit_hate
17904,i could care less how you feel - what i do know is more whites died from drugs abuse in 2016 in chi than blacks from gun violence .,not_hate
2605,the average fortune 500 ceo lives in a $ 14 million home while the average worker is struggling to make payments on their homes . #greed,not_hate
2051,: india : muslim former google employee detained for trying to join islamic state,not_hate
12072," jeb bush :  "" have hispanic children . i have hispanic grandchildren . i'm part of the community . "" "" #cuckservative """,implicit_hate
10058,trump only sells in the south  the northeast  and the west coast . in the vast  sparsely-populated interior of the us he really struggles .,not_hate
14352,jewish federal judge blocks deportation orders for hundreds of iraqi rapists and murderers via,implicit_hate
12589,obama never disavowed his racist ex pastor jeremiah wright and gave the eulogy for career klansman robert white sheets byrd .,implicit_hate
6792,black celebrities who belong to 5 % er anti-white race war cult via,not_hate
6914,he says jew . we all have a job to do  no need to condemn anyone imo,not_hate
17396,we r looking fwd to have a peaceful country ! no more demolition of mosques / communal violences ! with u we know growth wil come !,not_hate
19747,maggots,implicit_hate
4028,delhi hc orders delhi govt to furnish complete account of details of public money used in these ads within 2 days .,not_hate
16554,will is the first step to action . but you're right  strong action will be necessary to save europe for the white race .,implicit_hate
5247,not if you're pro-white .,not_hate
16367,the brian ruhe show : kyle hunt on white people  jews  muslims  hitler and spirituality today via,not_hate
12095," rt al-azhar complains of  "" zionist plot "" "" to defame islam  divide arab world #islam #islamophobia """,not_hate
13191,can i join your clan i need it for college credit and my teacher said if i join a club / clan i will have enough credit to graduate,not_hate
2327,i'm not sure any compromise on daca is acceptable to most which is the direction the wind is blowing,not_hate
17048,indigenous people don't realize if they want to live a comfortable capitalist nuclear family life  they must also support nazism .,implicit_hate
21428,WHY are you Atheist?,implicit_hate
25,: white power !,not_hate
6709,: race war in manhattan : black power militants storm restaurants and harass white patrons,implicit_hate
10396,a white guy who refuses to be disrespected and has the audacity to stand up for himself . every cuck in america is outraged,implicit_hate
16953,great that there is white women like you .,not_hate
10004,the more his wife and children depend on it  the more tenaciously he will fight for his mandate,not_hate
21325,"what phrase do black men always love to hear ? "" you are not <allcaps> the father ! """,implicit_hate
16885,do we need names in the name of invaders and iconoclast who destroyed hindu temples and killed many ? why not change ?,not_hate
13171,because white advocacy has the same support from government,not_hate
3036,and it takes a lot of power to get so many people to buy narratives . it's why we should focus on build,not_hate
12690,speaking in minutes ! watch live here ! #pjnet #tcot #t2sda #benghazi #orpuw #lnyhbt,not_hate
14734,white supremacist group launched their #projectsiege campaign at penn state . here's psu's statement :,not_hate
10110,what percentage of blacks have white friends ? could it be that it's natural to prefer your own race ?,implicit_hate
16502,what ? that is white ? i said #whitelivesmatter too,implicit_hate
4136,i dont think so .. more blacks than whites by tons . easier for everyone they relocate  less blood,implicit_hate
8254,well they helped zionism and commies to destroy germany a white country ... that's racist .,implicit_hate
18320,vijayadashmi in india ... celebration with blast in pakistan perfect,not_hate
16976,his time had come  he started to criticize white identity more and more,not_hate
16754,: via : n . j . muslim group sues nypd to stop routine counterterror efforts #tcot,not_hate
19596,only trump will drain this swamp!,implicit_hate
1223,black on white crime unveiled : via,implicit_hate
10241," i agree completely ! i just think i'd disagree with them on what those  "" true tenets "" "" are ... """,not_hate
21003,This joke is like a Veitnamese factory worker It makes no cents,implicit_hate
8885,looks like the south is going big for trump . bad for cruz,not_hate
20519,if you know someone in your state illegally call immediately you better head to california if your illegal right now.,implicit_hate
21014,"What is the difference between the highway at rush hour and the line at KFC? Nothing, they are both black and dangerous to cut through",implicit_hate
7726,do they group together initially ? sure . but i think they have integrated quite well . i live in a high somali area too . kids go to 1 /,not_hate
5136,isn't it amazing those white men are protecting mostly black and latino babies,not_hate
6527,zionist racist ideology myself afro american rather eat with adolf hitler . stop holocaust on arabs,implicit_hate
15021,bbc fires award-winning white male comedian for being white and male,implicit_hate
11933,white americans need to identify and fight #whitegenocide #whitepride #identitarian # via,implicit_hate
18322,want america to be safe and secure ? impeach the white supremacist president . oh  and get off my feed .,not_hate
11969,why do you hate whites ? when did jesus say hate your own tribe ?,not_hate
475,i very much doubt you are white person of european descent . from,implicit_hate
739,the capitalist white supremacy system on which it was built are the roots of what is so strongly dividing us now . this can't be undone .,not_hate
19063,white-ish socialist marxists democrat libtards broken down in a white category would probably be high .,not_hate
3568,there is no european culture . the germans fought two wars of extermination against france  belgium  italy  britain  etc . ...,not_hate
20024,"absolutely insane. try that crap anywhere in central america and you end up buried in a desert somewhere. here, we give you 200k.",implicit_hate
16268,on the parallels between trump's speech yesterday & the anti-semitic protocols of the elders of zion -,not_hate
21268,i 'm not racist there are black people in my family tree .,implicit_hate
9571,david lane : open letter to the dead white race via #tweetni,not_hate
19121,"tuskegee, al, which is home to their greatest businessmen, aviators and scientists, would be a food desert without federal assistance",implicit_hate
14042,a wire at an even where most people have cameras and is surround,not_hate
2426,michel houellebecq : how frances leaders failed its people,not_hate
19028,well  well  well . there is a lot a hate i you sir . i am 100 % muslim but i don't hate you . seek knowledge  not hate .,not_hate
2298,i am in total agreement with you . the nwo loves not humanity but those human rat people that are loyal to them to divide us,implicit_hate
4601,white privilege is a total myth .,not_hate
1620,remember the man who formed pb  gavin mcinnes is alt lite & not interested in saving whites,not_hate
17330,there is plenty of evidence for racial differences in mental functions . those differences are not huge  but they exist .,not_hate
2011,#whitegenocide means no more white children .,implicit_hate
17436,white south africans trapped like frogs in boiling water as anti-white racial violence escalates via,implicit_hate
11290,about to attempt 405 for first time since hurting my back a year ago  wish me luck if y'all don't hear from me again antifa got me,not_hate
13261,funny  even ironic pic since she would have recommended bo's momma have an abortion . pregs to a drunken black man ...,implicit_hate
1465,its.time for the white people to ! ! ! #immigration,implicit_hate
5312,rebel media is at the forefront of white nationalism ? no ! see,not_hate
9902,race realist and proud white alt-righter using color of crime references,implicit_hate
18660,did you even read siege ? pierce is rolling in his grave at certain people as we speak .,not_hate
16679," this is so unislamic - -  "" no compulsion in religion "" "" quran 2:256 - #sharia gives freedom of religion """,not_hate
19183,"they don't deserve to get shot, became im rational unlike them, but they still deserve to be on that map.",implicit_hate
3628,wereally need to figure out a way to get these antifa gofundme campaigns shut down . they collected almo,not_hate
13054,. we're counting on you to help #stopesea ! ! ! #pjnet,not_hate
6265,so are human sacrifices then . stfu .,not_hate
15949,cake artist ordered to ignore his faith and complete re-education supporting same-sex marriage,not_hate
3956,anti-white is not code for anti-jew,not_hate
4884,arab allies have no wish to support washington's ' game ' in #syria #isil,not_hate
1883,you should consider one for his book white identity .,not_hate
19006,um  no .. he maliciously attacked a group of people and murdered someone,not_hate
20753,"they should be hit in the face when it's quite obvious you better punch her 1st, before she does you. self-defense.",implicit_hate
6630," you provide no evidence that robert spencer is a  "" jew "" ""  so let's ask him ; robert spencer  are you a "" "" jew "" "" ? """,not_hate
153," rt another hate hoax : police nab notorious  "" white supremacist "" "" who drew swastikas around a college """,implicit_hate
14248,i favor immigration reduction / border controls  but think i'm cool if they start a biz & hire native-born americans,implicit_hate
16164,it's not the statues that they hate  it's the people they represent . white people . you .,not_hate
19586,no wonder they all look like pigs,implicit_hate
4148,i mean they're white !,not_hate
21261,what s the difference between a black person and a colorful explosion in the sky ? fire works,implicit_hate
967," #letspretend we are living in a  "" colorblind "" "" and "" "" postracial "" "" society  not an anti-white one """,implicit_hate
1024," rt german embassy  paris .  "" far-right "" "" protesters oppose eu illegal quota . """,not_hate
18449," i am now and will always be a jew who is considered  "" white . "" "" you ? i haven't a clue  but yo """,not_hate
10370,: lies . jews like really want white goyim to fight iranian goyim so they can kill us both off at the same tim,implicit_hate
14054,american white christian terrorist,not_hate
15883,american indians are asiatic mongrels  they have no claim to america or the 1st world nation whites built on top of it,implicit_hate
8231,via : ghana : muslim leader says boko haram is not an islamic group #tcot,not_hate
17967,india has a special place in my heart . i am eagerly waiting for your arrival in kyoto this weekend .,not_hate
1149,: video : latino kkk says you are too white to be american #afire #tcot #teaparty illegal ...,not_hate
9591,eu multikulti enthusiast expresses view of the elite but ignores reality of indian subcontinent  south,implicit_hate
5928,don't you mean it's preferred to be white ?,not_hate
6356,think about it . the coservative christian party that's all about #familyvalues has a candidate with no values #nevertrump,not_hate
18509,#antifa is #isis #isis is #cnn #cnn is #ciasmash !,implicit_hate
168," uk sport displays anti white racism when they cut funding for  "" white sports "" "" prior to tokyo olympics ! """,implicit_hate
6967,i just got news my friend is in the hospital with broken ribs from last nights uc berkeley riots ... possible liver damage .,not_hate
3361,lolll thats ur not a racist defense .. when white people do something like that .. u laugh and still say u can be racist ..,not_hate
8135,the 1st slave owner in fl was a black man  owning white & black slaves . muslims enslave all races today . slavery is not about race !,implicit_hate
1139,: self-professed leaders of the american working class march in al to support illegal alien workers #afire ...,not_hate
15122,explain to me why white nationalist ideology shouldnt be allowed to be discussed ? there is nationalism concerning every other race that is allowed  but its only disallowed when its white nationalism . why is that ?,implicit_hate
1752,to race bating liberals you do know many white brothers and sisters helped out and died during the civil rights movement ?,implicit_hate
6097,it means people aren't buying the lie  diversity kills  now prove me wrong,implicit_hate
17286,the conservatives have failed to conserve what really matters . it's time they made way for nationalism .,implicit_hate
3452,please continue to define ' white supremacy ',not_hate
10248," it most certain is when you seem to designate any gathering of white people as  "" supremacists . "" "" """,not_hate
17235,sh manmohan singh ji  having presided over monumental mismanagement for 10 years resulting in the present situation 1 /,not_hate
11067,why is it only white countries that are deemed to need multiculturalism ? why don't we deserve a homeland too ? white people are an endangered minority why is it ethical or moral to take their living spaces away ?,implicit_hate
6958,i don't defend hate  violence by anyone  be it jew  christian  muslim etc,not_hate
5084,i so love this tweet ! racist !,not_hate
11905,what a suppressive anti social generality . i'm a white english jew .,not_hate
12404,i have tweeted nothing about iq science . why do you keep asking about it ?,not_hate
16597,you're white + want to protect & preserve your distinct race / ethnicity just like everyone else . that co,implicit_hate
415,he is also a black racist . dont forget that .,implicit_hate
3105,canada : white people are taking up space says anti-white group via,implicit_hate
3248,i appreciate govt . of india .,not_hate
18863,oh right & that celebration of whites dying out while feeding off of their tax dollars according to you,implicit_hate
4280,must watch : holocaust mind control,not_hate
8926,north korea is a democracy are u people that stupid,not_hate
4545,we hate white people #liberalismin4words,implicit_hate
6384,trump  white nationalists  the media via #trump2016,not_hate
9661,hunter have you heard of ? estonia is next door to latvia and they have a youth nationalis,not_hate
19851,"move out of your mothers basement, go out and meet real people- you might like life?",implicit_hate
12079," oh  and the group that kills children are  "" white "" "" too . """,implicit_hate
17529," . archbishop chaput threats to #religiousfreedom  "" immediate  serious  and real "" "" """,not_hate
16582,you guys got a website but still rock sheets with holes cut out for eyes ? #bums,not_hate
14154,deflection-projection . the only real violence comes from antifa types who go out of their wa,implicit_hate
20954,What's the difference between heroin and a black person? Police care about people shooting heroin,implicit_hate
13932," that's why i hate to see infighting amongst members of the  "" alt-lite "" ""  alt right  far right  etc . they """,not_hate
16146,in the mean time more examples of white privilege,not_hate
6253,sadly  i'm not sure many will get this tweet  given the state of the american education system over the last 20-30 years,not_hate
16805,antifa would have to pay the termination fees for verizon to even consider it .,not_hate
9525,black student unions unmolested  but white ones banned all over . is there a conspiracy to suppress white identity ?,implicit_hate
8073,rt the active shooter in charleston sc is a crazy black man not a white supremacist . i know you democrat race baiters ( cont,implicit_hate
1740,this happens with every outrage shooting event and public is not given full details .. just juicy media footage to stir emotion,not_hate
4961,didnt blue lives matter just a second ago ? oh thats right  cops kill white people for no reason too sometimes . youd think you just found this out ? or are you all just bigots ?,implicit_hate
4668,"  "" defeat "" "" is the wrong word to use . the bible / quran to some extent is the means to stand up to the jews . """,implicit_hate
11552,i get called racist all the time  par for the course being white .,not_hate
18807,lol ! you guys talk so good . words use to make the fancy statements .,not_hate
15708,"  "" i am of the opinion that the majority of american and european jews are white . "" "" - - - dylann roof """,not_hate
20393,"plea to america: melt congressional phones, kill executive amnesty",implicit_hate
1798,what is #antisemitism according to #jews ? #israel #palestine #wakeup #texas #tx,not_hate
10829,sanders is a good man ! but what if it's cruz vs hitlery ? lol !,not_hate
15008,are you against the preservation of white majorities ? how does the perpetuation of a race negatively impact you ?,implicit_hate
12638,racist attacks on white dutch people by mobs of muslim immigrants continue ( video ) kyttjlt,implicit_hate
11013,what have black people contributed to science ?,implicit_hate
8397," i think charlottesville effectively re-branded altright as  "" gasthekikes "" "" . fair or not  """,not_hate
442,how rich did that racist get  what a racket !,not_hate
20488,what a joke. line the money up on the border and burn it. it'll have roughly the same effect,implicit_hate
5250,not to mention cultural normalized pedophilia,not_hate
9620,go forth and make white children .,implicit_hate
2557,so  white sharia ?,not_hate
550,jews know deep down  they're not white,implicit_hate
6850,diversity always means fewer ( or no ) whites,implicit_hate
12048," cuck is the new  "" racist . "" "" guess what ? you are the fringe now . we don't want your comments in mainstream publications """,implicit_hate
17531," > just read  "" the politically incorrect guide to islam and the crusades "" "" - more timely than ever ! read it ! """,not_hate
1930," bannon and milo are both catholics  in name only . berkeley will get  "" protest fatigue . "" "" this is what we want . """,not_hate
5200,majority of american citizens want the wall  and immigration laws enforced . it's been said again and again . let trump keep his promise .,implicit_hate
7589,: join us on the morning of dec 5th for a tweetfest to support #justiceforjack as we go to the supr,not_hate
15546,trump is not racist you idiot because you don't get a job . it is the places you are going to that are racist . get facts straight .,not_hate
2346,in 2013  cruz pushed plan to double ...,not_hate
16880,deplorables don't need white supremacists trying to give us a bad name . you are worthless just like antifa and black lives matter . go away !,implicit_hate
7986,my voice reaches a much larger audience then warner . i will continue with what i do .,not_hate
19933,"mr. perkins, is sen. santorum the equivalent of american taliban? unfair?",implicit_hate
1087,- declare antifa a terrorist organization  sign and share :,not_hate
10326,. jews founded the frankfurt school . which created cultural marxism  the anti-white ideology,implicit_hate
6996,if race doesn't matter genocide doesn't matter . only white countries are targeted like this . it's #whitegenocide,not_hate
4080,happy white history month,not_hate
1806,when are the people of chicago going to wake up and smell the coffee . dump the dumbocrates .,not_hate
14695,when one worthless white person make a idiotic racial error  we are back to apartheid with every white person .,not_hate
16685," why did you say   "" white "" "" nationalist ? """,not_hate
3841,#justiceforjack is justice for all in a society of free exchange of ideas  thoughts  & beliefs despite our differ,not_hate
8514,: the south stayed locked in the past until the feds forced them to adopt modern thing,not_hate
3506,study : white resistance increases as minority status looms via,not_hate
6821,check identity evropa's website,not_hate
4056,fake news . stop getting your numbers from occupy democrats,not_hate
4417,taliban : pink balloons ' western tools against islam ',not_hate
5919,do y'all celebrate black history month,not_hate
12060," i am awake . you are a bigoted moron . there is no  "" jewish domination . "" "" go away . """,not_hate
983," eventually  someone worse than trump will come along  and the media will already have blown their  "" he's hitler ! "" "" insult """,not_hate
15903,antifa is a false flag  that's why .,not_hate
13104,> > > americas future > > > white woman raped then stoned by racist blacks in south africa,implicit_hate
20507,you'd better get some guns and fast!! savages don't respond to reason.,implicit_hate
5442,trump is a failed businessman . you or i could have done bette,not_hate
5776,: accused carjacker to witness : i only rob white people,implicit_hate
6712,: those anti-whites want the white race extinct . plain and simple .,not_hate
13801,white supremacists are glad boehners leaving via,not_hate
19353,i won't even call it black power. it's black stink!,implicit_hate
4806,: did you know ... 3200 children are aborted everyday ... that's more than the number of deaths involved on 9/11 ! #prolife,not_hate
19705,white trash = white person procreating with a non-white,implicit_hate
20062,"wow, face it kids, cali is done. it may be time to have a 'sacrificial lamb' plan in our back pockets.",implicit_hate
18967,the selma confederates : ' i want to protect  defend and preserve my white race ' video,not_hate
9292," another day  another diversion tactic : 256 mass-murders in only 243 days . murderers nearly all  "" white "" "" . """,not_hate
6331,the southern poverty law center is untrustable anti-white racist liberal scum . i don't trust them and they're not honest about anything .,implicit_hate
13165,at the time of the image  there were riots in many uk cities  regardless of faith .,not_hate
20738,translated that means throw out all current immigration laws and open the borders to the masses.,implicit_hate
19773,i printed posters of #khallidmuhammad and i blast diarrhea on them everyday!,implicit_hate
6491,yeeep . exactly . nobody ever asked white people to apologize for being white . although most white ppl do demand terrorist racists who are white to apologize for being white .,not_hate
3306,interestingly enough  each of those examples is practiced right now in many non white cultures .,not_hate
5306,racist todaynazi tomorrowrussian next day repeat,not_hate
2586,target isn't worried about conservchristians boycotting them . it will help keep white trash out of the store,not_hate
