post_id,post,implicit_class
15597,where they all committed suicide . so what's you take on the jew involvement ?,stereotypical
10667,jared taylor is an #antiwhite #cuckservative and his supporters are traitorous trash .,other
7398,why is d white race most beautiful creation of god ?,inferiority
11572,i'm white and i'm ready to fight,incitement
9196,white guilt is a helluva drug,white_grievance
2943,#spreadthetruth radical muslims came out again on the streets ( cont ),stereotypical
21293,what 's the hardest part about being a muslim ? pilot school,irony
19970,sweetie why did muhammed ask jesus to let him jump in the swine and jump over the cliffs. was he afraid to jump off the mountain,inferiority
2011,#whitegenocide means no more white children .,white_grievance
7407,works for me ... don't give them benifits in any form except for a bus ride back to mexico .,incitement
19279,illegals border crossing numbers are back up to obama era number's what say you mr golfer president where is all the winning you blather on about your actions make you another dc swamp dwellers can't hide the facts anymore!,inferiority
13766,when a white person tells the truth that black people are the cause of there own pro,inferiority
3966,as long as white men allow jews into their midst and to lead them  they will continue to fail their race .,white_grievance
7946,libertarian solution : more third world immigration,inferiority
6856,does not make you a racist . makes you a realist .,white_grievance
21194,Women deserve equal rights. And Other Hilarious Jokes You Can Tell Yourself,irony
19808,"people will object """"but the famous, large kill count, intricate ones are white!"""" - well yes, anything advanced / intricate / noteworthy is.",inferiority
14355,jews are doing to whites what they did to palestinians . palestinian genocide  then white genocide .,white_grievance
3829," why do muslims have a  "" jew hate gene "" "" ? """,stereotypical
9524,black people say they want to kill white people  with hillary clinton it may happen,white_grievance
15732," most  "" hate crimes "" "" are hoaxed . white people are not out here targeting blacks and jews . they do it to push their agenda of white racist """,white_grievance
256,a future for white children ! in the same fashon as hitler youth  who were given the great honor of dying for hitler ! seig heil ! amen !,incitement
15736," of course . unlike many white racists  we aren't  "" mindless haters . "" "" the jewish "" "" finance shark "" "" isn't any worse than a white one """,stereotypical
19541,muslim scum knew how schools worked when they came here. no need to accommodate them,inferiority
2390,john friend's blog : international holohoax remembrance day,stereotypical
8939,obama created this level of misguided hate in america ! these people are feral animals  who,inferiority
20511,"banning the muslim brotherhood, getting them declared a terrorists org & ban all related orgs.",threatening
15162,hey black lies matter how does it feel knowing the white man you hate so much is still leading and lying to you ?,incitement
11136," be an  "" anti-globalist  "" "" support globalist agenda of mass immigration  open borders  genocide of whites . """,white_grievance
19366,gingers are fitwomen that is..ginger men are aids,inferiority
9525,black student unions unmolested  but white ones banned all over . is there a conspiracy to suppress white identity ?,white_grievance
19907,eat pig!,inferiority
20029,"let in jews and it becomes a """"nations of immigrants"""" in another month.",irony
21477,I wonder how many females I raped today I spent a lot of time on the subway as a sub 3 and inevitable looked at some females and might have made phisical contact when the train was full,irony
20677,islam and muslims should be completely eliminated through any means from all western nations. no exceptions. #removekebab,threatening
10708,maybe you should look at the jewish control of america before calling white,stereotypical
7123,nothing will stop the marxist destruction of the white race  it doesn't matter what the white race has done  doing now or will d0,white_grievance
15321,nearly .. america was a white european country ... the fact you are ignorant of this fact is odd ...,incitement
5687," rt must read :  "" illegal alien "" "" : the proper terminology """,incitement
16521,white genocide accelerates in england : white british pupils will be outnumbered by 2037 #swrm via,white_grievance
19308,us whites are just a minority on this planet. the technology exists to colonise the moon and mars. whites only!,inferiority
19215,manages to maintain it's culture. guess it's well out the way of the middle east & should survive,inferiority
15105,erryone knows jews  hispanics and mulattos are white .,irony
14964,absolutely not . white protestant christians built america and,incitement
13500,no you're not white  because you're jewish  jews ain't white .,stereotypical
19828,is it true you can make duck calls out of jew teeth?,irony
16830,being white = the original sin .,white_grievance
21254,what do you call an ethiopian with a yeast infection ? a quarter pounder with cheese .,irony
15195,i live in maxine waters district  she's always been one of the most racist politicians in america . to her hating white people isn't racist .,white_grievance
9310," is trying to preserve a western culture that was cultivated by white europeans   "" white supremacy "" "" ? """,white_grievance
1697,the black community in america is resting on the pillars of state welfare and affirmative action produced white guilt .,stereotypical
17303,the longer they take releasing his motives  the scarier it becomes for the white race,white_grievance
21356,Surveying gender is easy because there's only male and female.,other
19428,"no, you are vermin and will be exterminated #bacon",threatening
8358,your saying they are getting radicalized here so we should stop vetting people that are already radicalized and let them into the country . typical liberal logic,stereotypical
19372,there has to be a limit!immigration so numerous that out numbers born citizens will change usa to another differentcountry,inferiority
19223,thanks 4follow soon it will be man & goat b/c citizen of the loonie left,inferiority
1905,"  "" color "" "" doesnt matter unless u r white . n amurrica diversity & pro-white free speech can't coexist . #whitegenocide """,white_grievance
7272,there are already enough mid easterners in western europe to effectively end the white race in under 30 years time,white_grievance
19547,it is an eyewash.u can trust a snake for a moment but never pakistani.pakistan is fountainhead of glo,inferiority
8529,a huge error-racial groups are loyal to their blood first . it's natural for a racial group to strive for domination .,incitement
5971,guns are a white invention . we used them to conquer . third position is good . i'm not conservative . i'm reactionary white nationalist .,incitement
19781,fudge your satanic values bubbles,inferiority
4798,7 / in a thousand years  european monarchs didn't assert the power of our federal judges to privilege aliens and redefine marriage,stereotypical
20106,simple deport all immediately!,threatening
4700," jews hate christians even more than  "" just "" "" white people  so i know i'm doing something right by claimin """,stereotypical
19565,"minnesota has a muslim problem, not a recruiting problem. plenty of 3rd world """"#refugee"""" parasites here. #tcot",inferiority
20844,"I don't care what background, heritage, mental illness or skin color a person has, I've got no sympathy. I'm actually happy when the criminals decide to off themselves saves me time and money not being wasted. https://www.msn.com/en-us/news/us/sympathy-for-whi...",threatening
13144,anti-white supremacist  the new code word for #antiwhite .,white_grievance
4781,. hung black men are a symbol of white supremacy too  can we get rid of them as well ?,irony
20693,theres plenty of room in that miscreants head for a few 9mm bullets. did the guards deliver them?!,threatening
19671,hungry jungle people as competition let us get u.s.,inferiority
4842,afrikaners establish exclusive all-white community in orania  south africa via,incitement
10457,but after last night  white self hating baby boomers are trying to make there ca,white_grievance
19438,"i kinda like your idea, limiting population growth to save the environment, we need to sterilize democrats!",threatening
15223,if that is so  it clearly shows the hate crime punishment is only for white men .,white_grievance
7331,video : white man march - white nationalist rallies organized across the globe for march via white time,incitement
7097,muslims will not condemn koranic verses . making them all part of the problem .,stereotypical
988," hr defends anybody not white and attacks whites in the name of  "" human rights . "" "" """,white_grievance
1723,then go back to mexico .,incitement
16538,white people in britain resisting propaganda to racially miscegenate  figures show | more :,incitement
14441,nothing odd about it . we are all europeans who live in america  and our ancestors created this nation ; an extension of europe .,incitement
4285,my world orbits around whites  as it should . laughable moment though .,incitement
21167,What does a black woman receive when she has an abortion? A thank you letter from welfare.,irony
20608,"also, charge mexico for all legal & imprisonment costs, including transportation back to mexico! why are us citizens on the hook for any $$?",threatening
20579,no amnesty no benefits no jumping the line no daca no adult kid cheaters no chain families deport,threatening
10837,shitlibs are purging the white males for criticizing hillary :,incitement
21134,I reported a video on YouTube for animal abuse My report got rejected; it was footage of a black man being beaten,irony
8376,"  "" you answered my question "" "" no  i asked you a question . 95 % of the men who won ww2 were against interracial dating  gay marriage & the replacement of white america through mass immigration . are people with those beliefs today nazis ? """,white_grievance
21119,How dark is my humor Dark enough to get six warning shots in the back,irony
11432,diversity is not a strength . #endimmigration,incitement
11231,. : ' sentencing reform ' bill rewrite will release illegal alien drug traffickers via,stereotypical
3103,can we start a eugenics program of poor uneducated people of all races ? let's breed out ignorance .,incitement
6054,i'm so glad #ferguson happened . you woke the world up to how much black people hate white people .,stereotypical
1434,in order for jews to triumph  all it takes is for white men to do nothing .,stereotypical
4490,these people should find it hateful and offensive to behead & honor kill . not you exposing those who behead & honor kill .,stereotypical
18106,pakistani gangs rape of white girls was not racist  says sentencing judge via,white_grievance
16529,white identity : racial consciousness in the 21st centuryjared taylorsupport and buy through them .,incitement
19976,"walid shoebat on the bergdahl family #islam connection * the savage nation * march 26, 2015",inferiority
3957,anti-white media gloats over firing another pro-white activist #whitegenocide,white_grievance
18471," rt #egypt democracy lovers shouted  "" jew ! jew ! "" "" during their sexual assault #islam #islamophobia """,stereotypical
21263,what 's the same about feminism and the holocaust ? they 're both irrelevant and mean nothing to society .,inferiority
20569,let the dogs out,threatening
289,angola used to be a prosperous portuguese colony . whites fled en masse in 1975,incitement
13474,multicultism is anti-white hatred . we built this country . you will not replace us .,white_grievance
2347,in memoriam panzerdivision totenkopf t-shirt from the white resister via,incitement
3005,a reminder of what black people think about you  white man,stereotypical
21234,bad drivers are fined $ <number> now that s just sexist .,irony
16519,white european jihad murderers are ok ?,irony
20512,yep #saynotoislam follow #stoptheinvasion #norefugees#neverhillary wants a550% increase inrefugees#trumpstrong,threatening
19783,"yep, genetics is racist. jesus, man, quit drinking before it's too late.",irony
1784,we have to pay for private school because a third of the kids at the local public school don't speak english .,white_grievance
17528," #zimmerman will be convicted . another sacrificial lamb to  "" what will black people think "" "" """,white_grievance
20603,this thing needs a bullet between the eyes.,threatening
7944,lets turn our hate into action : action report on the liverpool white man march via,incitement
21066,Boomerangs are like dads... The black ones don't come back.,irony
19686,doing constructive things on a regular basis is beyond islam's skill set.,inferiority
4698," is goal 1 / trying to ignore race  or 2 / trying to disempower the  "" white privilege "" "" class 3 / cultural marxism ? ? ? """,white_grievance
19850,is that all they have on their minds brain in their dick castration time,irony
20607,texas still has the death sentence. u deport him he'll just b bk!,threatening
21463,"Now now lets not discriminate between muslims and jews , I say get them all back to the middle east and turn the whole sand pit to radioactive glass .",threatening
20954,What's the difference between heroin and a black person? Police care about people shooting heroin,irony
19329,"yeah, because the dems want to bring in degenerates that don't belong here.",inferiority
11719,photographer ? she looks like antifa to me looking for trouble . also  you need a dictionary to distinguish between a beating and a punch ?,stereotypical
18721,i don't respect sexualities . sexualities aren't people . and they call themselves queers .,incitement
4826,: white genocide as business : starbucks promoting race mixing for white women ( video ),white_grievance
11342,as soon as a white person advocates for their people they are immediately branded an evil racist . it must change .,white_grievance
12857,white christian immigration only the usa was founded as a white christian nation #fact,incitement
20649,that means the daca people only not amnesty for all! and the daca people w/b processed to the fullest extent fee and investigation,threatening
5411,there are muslims who do not want to see sharia or jihad against the infidel in ameri,stereotypical
16417,they might be human beings  but they ain't pure white .,incitement
20405,"stop 'warehousing' them and send them back where they came from! no visa, no stay--gone!!",threatening
20324,i have a great idea! why not take your little guns and head for an island? you can eventually kill each other off out of hate. now #pissoff,threatening
19106,you might be right about that  idk . i still think the movement would benefit from more love for our blood and less hate for non-whites .,incitement
10123,white . proud . no . apologies .,incitement
17650,: another white man shot by blacks over confederate flag on his car,white_grievance
9715,if you're white and you adopt non whites  you're a race traitor whether you realize it or not .,incitement
19892,build that wall!! build that wall!! ahhhhhh..,threatening
20824,"A pedophile is like a dog with rabies. It's sad they're sick, but they still have to be put down. #MAGA",threatening
18410,you don't live here . stay put in atlanta with the rest of the freakshow gathered there,inferiority
21479,Another advantage of being a female: getting by with your looks,inferiority
831,well  that's all allah is teaching them  kill  kill  kill and then kill some more . such a violent religion .,stereotypical
5975,has anyone ever legitimately debunked jared taylor ? #altright #whitepeople,incitement
16373,the federalist : please stop glorifying manufacturing jobs via #globalization #freetrade #cuckservative,other
11883,via : france : muslim screaming allahu akbar & kill the jews stabs jew  punches rabbi #tcot,stereotypical
12164,800000 fast breeding hispanics having 4-6 kids . millions of new dem voters in one generation . intentional displacement of whites .,stereotypical
21013,I overheard someone saying a black man stole a motorcycle out of a garage. I ran home to see if mine was still there. Yupp still chained to the wall. Singing and all.,irony
17828,ethnic norwegians disappearing as non-white colonization intensifies #swrm via,white_grievance
15902,anti-white un boss demands more non-white immigration into britain  despite major opposition via,white_grievance
19517,"they are human, the worst kind, but human.",inferiority
19397,yeah but the exwives of the old na boneheads are keeping the lulz alive,inferiority
3743,you think if a white man tweeted the racist tweets did but vice versa  would he still have a job ? #doublestandard,white_grievance
940,you're a white man  frank . you're automatically a fascist to these people . perhap,white_grievance
1602,polish media aren't occupied with endless tokenism ... yet .,white_grievance
610,negroes have different reproductive strategy . they are more successful than whites  reproductively speaking .,stereotypical
20984,"Everyone is so politically correct these days... You can't even say ""black paint!"" You have to say ""tyrone can you paint that wall please?""",irony
15220,if defending your southern ancestors makes one a racist  then i am a racist . unlike pathetic i will not repudiate my grandparents .,white_grievance
19464,"not judgingdiscerning. fetid, perverse lifestyles that lead to a skinny aids deaths are bad for #culture",inferiority
12720,the children of the wealthiest blacks in america underperform poor whites and asians,inferiority
17497,you must hate white kids if you don't want them to have a home that reflects their roots and identity .,white_grievance
812,uplift of the day #expeltheinvaders #europeforeuropeans,incitement
4799,: #whitegenocide means a future with no more white children in formerly white countries .,white_grievance
861,white countries are being colonized across the globe which will make white culture and societies impossible . war by demographics .,white_grievance
19747,maggots,inferiority
13037,#parisattacks let them in #brusselsattacks let them in #germanyattacks let them in let them in or be attacked ? ? ?,stereotypical
3071,because if she were fired  shed proclaim  racist america !,white_grievance
20344,deport the bums,threatening
16291,preserving our european identity is vital to turning america back to the country it once was .,incitement
2706,wave of black mobs brutalizing whites rt #tcot #tlot #teaparty #ocra,stereotypical
13327,i can see that given the history of the white race being enslaved lynched and discriminated against behind the word,white_grievance
13209,cousyness factor 1488  makeeuropegreatagain  preserve white volk ! #svpol #vpol #migpol #makeeuropegreatagain #eupol,incitement
1249,but they call us ( patriots ) the racist ...,white_grievance
20365,kill everyone that tries to stop you.,threatening
18898,resisting decay & annihilation of white race,white_grievance
19910,let's hope they get to meet allah while living in the caliphate then. otherwise they may not get to heaven.,irony
12332,fighting the displacement of your people is not white supremacy .,white_grievance
1743,this is disgraceful makes me sick that it white on black crime that's mostly reported ! black on white happens more t repoted,white_grievance
13881," also  his notion that a white nation would  "" be at each other's throats "" "" is possibly true but irrelevant . white nations have been successful """,incitement
18466," rt  "" : super cool german officer puts "" "" neo-nazi "" "" stickers in police van | more : "" "" ; """,incitement
15882,america is the name for the historical anglo protestant nation . the country  the usa  should be white .,incitement
20119,cut off their heads,threatening
11381,but that wouldn't enable them to destroy white neighbourhoods .,white_grievance
17820,dr . david duke : the racial murder and rape of white women in america | read more : via,white_grievance
19531,"yes, it's so simple!this is why the middle east and africa are so peaceful. no evil white people!",inferiority
2342,im new to white pride but eh black's are taking over washington state slowly every man need's a black slave i believe,inferiority
20296,illegals need to be removed from our country now! without delay!!,threatening
5862,black leaders advocating genocide of white devils ; dhs official booted for advocating white genocide,stereotypical
2708,we are together with the white race at present in their struggle against various forms of jihad .,incitement
16006,ernst zndel : the hitler we loved and why | read more : via how we need him now .,incitement
16794,and thereby aided and abetted in the multiple rapes of thousands of british girls  yes  that media .,stereotypical
11947,white nats have to dialectic their way back,incitement
19562,more poor uneducated to house clothe educate and feed! america is going bankrupt feeding the world!,inferiority
11098,you people are unable to  you need white people we don't need you . one way ticket to africa .,incitement
18253,the worlds biggest racists are actually brown people while white people are the least racist #,white_grievance
15596,where is new testament says to kill rape anyone ? nowhere . prophet koran hadith command you to kill rape nonbelievers if you want go heaven,stereotypical
20937,What did the jew say to the other jew? Jew: Is something burning?,irony
16124,i'm sharing this  but i'm not going to make a comment about politics and diversity and how you can't have european culture without europeans . #tcot #altright #art #history,incitement
20537,"pl. screw all anti-nationals without mercy, forget goodies, act tough commander-in chief kill all traitors, call us if u need",threatening
17858,happy mother's day to all the wonderful #aryan moms out there . thank you !,incitement
20433,retard. send this pos to mexico.,threatening
413,hate group because your proud to be a white american christian ? insanity ! and very disappointing !,white_grievance
15181,i already answered this . why are you denying racial iq and evolutionary psychology / biology ?,inferiority
11887,vote support your local racist contact show support for a wall you this is 4you,incitement
11723,planned parenthood started to kill black babies . racist and murder . d,incitement
21029,What's the difference between a black man and a pizza? A pizza can feed a family of four,irony
6311,the civil rights movement was financed and led by communist jews to undermine white america #mlkday #mlktruth,stereotypical
3433,op ; white storm #wpww #whitegenocide,incitement
3918,a small list of obama's lies . you expected more ? obama's list of lies grows each day obama is in office . #tcot #tlot,incitement
5520,white men increasingly less welcome world-wide including our slaughter . stop buying from companies that hate you .,white_grievance
18408,you can have white children and still burn the coal .,inferiority
20516,i vote for the guillotine! a head for a head! if this was the punishment maybe they would think twice,threatening
142," rt  "" : proud white women speak out against white genocide ( video ) via "" "" """,white_grievance
17019,i was so busy paying 20 thousand a year in taxes for illegals  i couldnt afford to send my legal american children even to county college !,white_grievance
17513,zuckerberg's dream : the anti-white racist social network | more : via,white_grievance
3750,"  "" : a majority of latinas and black girls  i cannot stand "" "" """,incitement
15833,: discussion time : morality and the potential destruction of white civilization via,white_grievance
8735,he told the world : the immortal words of adolf hitler ( video ) via powerful images  prophetic words,incitement
20929,Does pedo bashing require a baseball bat?,threatening
20718,". our laws apply to illegal aliens, we should focus on aliens and criminal refugees. zero tolerance.",threatening
6796,black supremacist arrested for threatening to kill all white people in the town | read more : via,white_grievance
12261,because beautiful white  blonde haired babies are absolutely adorable and against everything they stand for . :(,white_grievance
18194,switzerland : africans kill elderly white man then start screaming about racism #swrm via,white_grievance
2667,this whole narrative that #daca people do so much for our economy is just not true . most are more racist than any white person in 2017 .,stereotypical
20555,it's not enough. they don't need to welcomed. they need to be exported and taken care of by someone else. permanently.,threatening
19656,more proof that islam is not compatible with civilization.,inferiority
8135,the 1st slave owner in fl was a black man  owning white & black slaves . muslims enslave all races today . slavery is not about race !,stereotypical
1089,. best way to stop gun violence in america ? disarm all black people . #tcot #teaparty #sbpdl,stereotypical
6804,bradford : 80 % of children sexually exploided are white . rape jihad,incitement
21212,"Listen, you're sexist. @TommyJohn15 Listen, I'm not sexist, but every dumbass driver I've crossed lately has been a female.",inferiority
10410,alt-right is anti-zionism ( jews ) and white genocide,white_grievance
19439,what does that even mean? it's the oldest black republic in the world? blacks created modern haiti,inferiority
5080,i more and more think is right . black and white can't live together . we should just find some way peacefully to separate .,incitement
391,extinction of america's white population speeds up #swrm #whitegenocide #prowhite #speedsup via,white_grievance
6885,four adopted children  not a single one white . what kind of self-loathing and / or white savior complex causes that ?,inferiority
20978,What's the difference between a black person and a bicycle? The bicycle doesn't start singing when you put chains on it.,irony
16936,gatlinburg wildfire : jews and blacks celebrate poor white people dying  arson suspected daily stormer,stereotypical
19732,"zip it, snowflake. just for you, he can scream saddam as he plunges. better?drowned, dipped in acid, burned alive in cages like #isis 4 u?",threatening
20203,"an unauthorized amnesty begins, no safeguards in place to prevent fraud #daca #immigration",white_grievance
21370,You might want to think about losing weight if you want to get married and have children. Men are very visual creatures.,inferiority
1402,i support assad . i support white people having babies to increase the population . i hate the current trend of making white men look bad .,white_grievance
10880,thanks for putting this picture up i'm a white male in south africa we are murdered in our houses becuz were white,white_grievance
3247,i am westgerman  rightwing but ill.mother dead.who can teach me jewish / babylonian magic ?,stereotypical
7489," rt  "" : : non-white hate crime mob violence comes to finland ( video ) "" "" ; cultural enrichment ? """,stereotypical
21126,"How do you always win an argument against a black person? Call him ""Dad"" and he'll run away.",irony
4275,more proof : multiculturalism is a codeword for ethnic cleansing of native whites .,white_grievance
8944,of course they bc the msm hates and wants to destroy the white race bc we are the greatest race ever . w,white_grievance
186,#iffootballdidntexist white men would fulfill their tribal instinct by standing up for their own kind  not worshipping negros who hate them .,incitement
14701,white countries working together now ?,other
19899,"ridiculous garbage wackos spewing"""" excellent words i'm sure you can back up?",irony
19929,"no, we don't want thier barbaric sharia practices inflicted on us.",inferiority
5159,it's true ! we didn't invigorate the working white class  just every other class and race haha,white_grievance
3152,dutch arrest 12 thought to be ready to launch jihad attack #islam #islamophobia,incitement
20185,no god damned amnesty to any illegal aliens,white_grievance
13744,we prefer to be called identitarians . we believe that societies with majority populations that share racial / ethnic & cultural commonality  an identity  are more stable & preferable to ones that are multicultural . history and the current crises of the west suggest we're right .,incitement
6847,definitely not on our side ! better luck next presidential election white america !,white_grievance
20434,shut it down! surrender is not an option!,threatening
10030,there is no place for a white man in the democrat party .,white_grievance
1393,i literally read a tweet from a lefty beggging for it to be a white male .,white_grievance
16401,the white man's revolution of 2016 via,incitement
21405,"That's why black men, like my boyfriend, date us white women. They like REAL hair, real nails, and none of that attitude. Black girls are way too ghetto and too much work.",inferiority
21105,Did you hear about the two car pile up in Mexico? 200 Mexicans died.,irony
2086,a wall is meaningless once amnesty is granted . in time they will tear down the wall like they are tearing down statues . #notrumpamnesty,white_grievance
21388,"Of course I love you, I just prefer the straight part of you to the gay part.",other
1271,considered to be us ! so get with the program and go all out white nationalist ! its the white thing to do !,incitement
5900,chin up . we'll all soon be compelled to accept everybody is a racist ( the right thing ) when gene editing / life extension science is commercialized + competition for white / asian dna makes it irrefutably clear the negroid dna has no commercial value : ~ 100 yr extinction event,inferiority
21395,"So you're really not into men? Like, really really not into men? Are you sure?",other
19707,"pastors take note; white architect designed your church,whites built it,whites paid for it. whit",inferiority
11105,you're right . trying to bow down to the jewish control and begging for ' white control ' is stupid . they,stereotypical
18464," replace  "" jew "" "" with "" "" cis white male "" "" and you sound no different from an sjw . """,white_grievance
21364,"I'm male, and am asking this question to non-binary identified people. Why do you give so much of a crap? Why can't you just lighten up, let the thread happen, and ignore it?",stereotypical
20293,submit to the constitution or get the eff out!,threatening
4796,4396 white murderers  5375 black murderers . all the while blacks are 13 % of the country's population .,stereotypical
19849,"help #buildthewall so people get start working on the tunnelsyes, that is sarcasm",irony
15415,seriously don't they know that we all bleed red ? when a muslim blows up a european hes reall,stereotypical
7429,you recognize you are talking about a race who literally put people of other races in a real yoke .,stereotypical
4743," tea party is  "" a bunch of white crackers "" "" #waronwhites """,white_grievance
14550,splc preaches hate against conservatives and white people,white_grievance
3314,islamist infestation in white house ? #rt #stopislam #crusades #makedclisten #wakeupamerica,incitement
15361,only hope for the white race is to form separate b / w nations otherwise we'll forever be victims of communism & class envy .,white_grievance
21239,"some people say i do n't let my wife choose anything , but that 's not true ! i let her choose between front hand and back hand .",threatening
8257,what about white americans ? oh wait  that's * white supremacy * to talk about white interests ?,white_grievance
3980,belgium : non-white invader rapes white woman after dont rape course | read more :,stereotypical
15260,it's not wrong if you're any other race  but if you're white  you're a white supremist  racist  bigot,white_grievance
6184,no  death is their poison . white man defend your own ! join and love your race  they call to you ! raise the banners of freedom !,incitement
14794,your taking it in the wrong context . i had said the same thing ! but its how and why the women was killed in question . any race can use their position of power against a group they resent . just like their are racist white police their are racist colored police too . keep it real .,white_grievance
18674,enough  illegal means illegal ! after the rape of the 14 yr . old  i want these ppl out,stereotypical
21345,"Sorry , that must be my Black coming out.",inferiority
4353,pretty sure he might be in the closet ! ! come on out buddy !,irony
21474,"Women don't like being treated equally to men, sees having to pay child support as oppression.",irony
19598,"wow! crazy, selfish europeans that have no future, no children, or grandchildren are nihilistic like hitler.",inferiority
20133,why not he's giving them whatever they want. they deserve deportation or jail. instead get freedom to piss on citizens,white_grievance
20471,"to be quite plain, this fat shit should be deported, preferably to iraq.",threatening
8687,fact : 90 % of all interracial crime in usa is black on white #swrm #blackonwhite via,stereotypical
19520,the western countries won't even get a crappy participation medal once islam turns them into 3rd world countries.,inferiority
21287,what do you call a muslim at a peace rally ? lost .,irony
7030,it seems true  but they had plenty of people willing to suicide bomb an,stereotypical
16634," had a lib tweet me once -  "" trumpers are just afraid of a non white america "" "" and i was like-why would a white person want a non white america ? """,incitement
20169,"pl. respond to attacks, despondency will not help; simply #deport all muslims",threatening
3390,mr . those who fell into the hands of islamic invaders had only two choices - either convert or get killed .,stereotypical
2214,enforce our laws = they've got to go backmerit-based = less third-world #jointaddress,stereotypical
7295,this is only the beginning  believe me - whitey is done being pushed around by marxist / anarchist / leftist anti-white scum  time for pushback !,white_grievance
12088," rt #demdebate summed up for you :  "" we hate white people and can't wait until usa is majority non-white  "" "" say all the white candidates on stage . """,white_grievance
