post_id,target,implied_statement
19380,Immigrants,Immigrants are parasites.
19701,Black people,Black people are dangerous.
14709,Mexicans,Mexicans are violent.
12673,Women,Women are valued for their appearance.
14164,Muslims,Muslims commit hate crimes.
15254,non-white people,non-white people are inferior
20769,Liberals,Liberals are corrupt.
17456,Jews,Jews are harmful to white women.
9713,non-white people,non-white people are manipulative
1763,Immigrants,Immigrants are illegal.
1828,Muslims,Muslims are outbreeding whites.
3591,Muslims,Muslims are dangerous.
462,White people,White people are violent criminals.
7734,White people,White people are self-destructive.
7120,Muslims,Muslims are violent rapists.
10926,non-white people,non-white people are ungrateful
20279,Immigrants,Immigrants are criminals.
19330,Muslims,Muslims are incompatible with Western society.
1131,Muslims,Muslims are a threat.
19884,Individuals perceived as oppressors or enemies,Individuals perceived as oppressors or enemies deserve to die.
20557,Immigrants,Immigrants are a burden.
6425,White people,White people are submissive.
4750,Jews,Jews are arrogant.
20468,Muslims,Muslims are violent extremists.
2770,non-white people,non-white people are taking over
14597,non-white people,non-white people are unwanted
16955,Black people,Black people are incapable.
11678,Blacks and Hispanics,Blacks and Hispanics attack white people.
121,African refugees,African refugees are rapists.
19511,Non-white people,Non-white people are uncivilized.
7519,white people,white people are victims of racism
12394,non-whites,non-whites are inferior
19392,Indians,Indians are uncivilized.
19253,non-white people,non-white people are inferior
12724,Jews,Jews are evil.
16967,Jews,Jews are globalists.
19819,Peshmerga women's battalion,Peshmerga women's battalion are violent.
19130,Illegal Immigrants,Illegal Immigrants are parasites.
164,Minorities,Minorities are oppressing white people.
573,Jews,Jews are not white.
908,Muslims,Muslims are killers.
1732,Jews,Jews have special privileges.
6313,white people,white people are serial killers
12558,Jews,Jews are hypocrites.
11888,White people,White people are racist.
9572,white people,white people are doomed
20224,Black people,Black people are criminals.
17897,Non-whites,Non-whites are a threat.
6447,non-whites,non-whites are a threat
12310,non-white people,non-white people are inferior
16217,Muslims,Muslims are violent.
12587,Black people,Black people are not genuine.
6282,Middle Easterners,Middle Easterners are deceitful.
9444,Black people,Black people are irresponsible.
7102,Immigrants,Immigrants are a problem
19674,Minorities,Minorities are harmful to society.
4178,Muslims,Muslims have too many children.
4088,White people,White people are violent.
19148,Muslims,Muslims are evil and unintelligent.
1196,Jews,Jews are destroying the white race.
19802,None,None
639,Jews,Jews support immigration.
13668,White people,White people are superior.
6551,Black people,Black people are violent.
19750,Native Americans,Native Americans are savages.
3931,Non-white people,Non-white people are uncivilized.
20343,Immigrants,Immigrants should be killed.
5552,Jews,Jews are unlikeable
9521,Black people,Black people are violent.
16821,Jews,Jews lie about their suffering.
51,Muslims,Muslims are a threat.
20093,Unspecified,Unspecified group has unpleasant characteristics.
20626,Immigrants,Immigrants are a burden.
20208,Immigrants,Immigrants are criminals.
14733,Black South Africans,Black South Africans are violent.
5806,White people,White people are thieves.
20312,Immigrants,Immigrants are unwanted.
1570,Non-whites,Non-whites are violent.
16516,non-white people,non-white people are threatening
19027,Jews,Jews are planning genocide.
14240,Immigrants,Immigrants should be killed.
13725,Iranians,Iranians are violent.
20682,Immigrants,Immigrants are disrespectful.
12608,non-white people,non-white people are a threat
16613,Mexicans,Mexicans are a threat.
19469,Protesters,Protesters are violent and unintelligent.
3541,Black people,Black people are uneducated.
15112,Muslims,Muslims are taking over.
9491,White people,White people are hated.
7800,Black people,Black people are being targeted for genocide.
14732,White people,White people are self-destructive.
19328,Brown people,Brown people are inferior.
5282,Black people,Black people are bad with human rights.
12350,Liberals,Liberals are taking over educational institutions.
10259,white people,white people should be killed
14017,Muslims,Muslims are murderers.
1186,non-white people,non-white people are foreigners
15307,Black people,Black people are inferior.
18409,Anti-racism activists,Anti-racism activists erase history.
13039,non-white people,non-white people are invaders
4869,non-white people,non-white people are undesirable
9242,Muslims,Muslims are taught to kill.
436,White people,White people are bad.
11561,non-white people,non-white people are inferior
16711,Jews,Jews are liars.
4354,White people,Antifa is against white people.
187,Women,Women are irresponsible.
9848,Immigrants,Immigrants are a threat to the country.
20086,"Black people, Mexicans",Black people and Mexicans are inferior.
2042,Black people,Black people are violent.
20515,Immigrants,Immigrants are a burden.
1288,Black people,Black people are violent racists.
7887,Muslims,Muslims are violent extremists.
20495,Immigrants,Immigrants should be deported.
2536,White people,White people are traitors.
18996,non-white people,non-white people are undesirable
20261,Mexicans,Mexicans are illegal immigrants.
8016,"Immigrants, minorities, or other marginalized groups",Defending national identity is more important than concerns about racism.
9608,Non-whites,Non-whites are not true Europeans.
9515,non-white people,non-white people are unintelligent
7385,Jews,Jews are hostile to white people.
19626,"Muslims, Latinos",Muslims and Latinos are replacing whites.
19827,Jews,Jews are controlling
3054,White people,White people are hated.
3398,Immigrants,Immigrants are lazy.
19730,Immigrants,Immigrants are unintelligent and incestuous.
11443,Non-whites,Non-whites are inferior.
20333,Indigenous people,Indigenous people are harmful and deserve retaliation.
6596,White men,White men are obsolete.
19597,Immigrants,Immigrants are worthless
14787,Muslims,Muslims are terrorists.
19189,Minorities,Minorities are animals.
1919,Immigrants,Immigrants are invaders.
20063,Asians,Asians are inferior
5220,Black people,Black people are thugs.
10884,Left-wing activists,Left-wing activists are harmful and corrupt.
14934,non-white people,non-white people are violent criminals
12642,Black people and Jews,Black people and Jews are inferior.
12323,White people,White people are under attack.
5890,White people,White people are hated.
3896,Palestinians,Palestinians are violent.
18591,Non-white people,Non-white people are inferior.
5026,Muslims,Muslims are a threat.
20714,Immigrants,Immigrants are unwanted.
16317,Illegal immigrants,Illegal immigrants are killers.
11774,White people,White people are superior.
4396,non-white people,non-white people are inferior
14268,non-white people,non-white people are a threat
19492,Christians,Christians are unintelligent.
14089,Jews,Jews are liars
17990,Jews,Jews exploit their identity for gain.
14317,Muslims,Muslims are hypocritical about slavery.
3633,Progressives,Progressives are misguided.
3204,non-white people,non-white people are criminals
2857,White working class,White working class are worthless.
15698,Mexicans,Mexicans take money from America.
11094,Minorities,Minorities are a threat.
375,Muslims,Muslims are invaders.
5847,non-white people,non-white people are attacking white people
7165,non-white people,non-white people are inferior
7130,Non-white people,Non-white people are a threat.
19551,Illegal immigrants,Illegal immigrants are a burden.
12069,white nationalists,white nationalists are radicalizing
10120,Non-Norwegians,Non-Norwegians are a threat.
5854,non-white people,non-white people are inferior
11541,Jews,Jews are low class.
9942,white people,white people are oppressed
795,Jews,Jews control the government.
13748,Mexicans,Mexicans are a threat
7580,non-white people,non-white people are murderers and rapists
20710,Muslims,Muslims are extremists.
15046,non-white people,non-white people are a threat to white people
20255,Unspecified,Unspecified group should be eliminated
20219,Illegal Immigrants,Illegal Immigrants are exploitative.
8077,Illegal immigrants,Illegal immigrants are a burden.
5544,White people,White people are despised.
20207,Refugees,Refugees are terrorists.
16670,Jews,Jews are not a real group.
20081,Minorities,Minorities are not normal people.
18438,White Americans,White Americans are losing power.
18051,Jews,Jews are white supremacists.
3372,Black people,Black people are harmful.
16791,Non-Americans,Non-Americans are inferior.
6915,Jews,Jews are weak.
13071,Immigrants,Immigrants are violent.
20458,Immigrants,Immigrants are criminals.
1541,non-white people,non-white people are a threat
13159,Non-aryans,Non-aryans are inferior.
10430,White people,White people are privileged.
20301,Immigrants,Immigrants should be eliminated
14435,Non-Aryans,Non-Aryans are inferior.
8485,non-white people,non-white people are criminals
19613,Black folks,Black folks are ignored.
13587,Immigrants,Immigrants are unwelcome.
3213,Jews,Jews are manipulative.
9380,non-white people,non-white people are inferior
14719,non-white people,non-white people are ungrateful
821,Black people,Black people blame whites.
19117,None,None
11356,non-white people,non-white people are inferior
12984,non-whites,non-whites are selfish
2808,Lower-income individuals,Lower-income individuals are a burden on taxpayers.
1471,Jews,Jews are destroying Europe.
19973,Democrats,Democrats are stubborn and unintelligent.
1198,White people,White people are persecuted.
12810,White Americans,White Americans are disliked.
18491,Muslims,Muslims are waging war against Europeans.
11935,Non-whites,Non-whites are inferior.
9341,Muslims,Muslims are overly sensitive.
16464,Immigrants,Immigrants are a burden.
12057,"Jews, Blacks",Jews and Blacks have an anti-white agenda.
1169,African immigrants,African immigrants are threatening.
783,Christians,Christians are racist.
17863,Jews,Jews are not white.
17827,Immigrants,Immigrants are taking what belongs to others.
19651,Black people,Black people are uneducated.
7009,white people,white people are being displaced
3631,non-white people,non-white people are a threat to white people
20050,Lesbians,Lesbians are masculine.
12896,White people,White people are evil.
14990,Hispanic people,Hispanic people are disloyal.
13914,Alt-right,Alt-right are obsessed with homosexuality.
7995,Immigrants,Immigrants are lazy.
3717,Muslims,Muslims are dangerous.
15493,White people,White people are under attack.
19451,White people,White people are being replaced.
15561,non-white people,non-white people are a threat
20716,Immigrants,Immigrants are a burden.
16697,Jews,Jews kill babies.
5258,Black people,Black people are anti-American.
1285,non-white people,non-white people are a threat
17994,white people,white people are not allowed to have pride in their race
9337,non-white people,non-white people are a threat
8576,Jews,Jews are ungrateful.
19813,None,None
9288,Immigrants,Immigrants are unwanted.
12878,Non-whites,Non-whites are inferior.
19435,Muslims,Muslims are evil
254,White people,White people are being eliminated.
11509,Black people,Black people are sexually aggressive.
12925,Non-whites,Non-whites are inferior.
12067,Black people,Black people are liars and criminals.
12352,Non-whites,Non-whites are a threat to white existence.
16443,Black people,Black people are dependent on welfare.
20358,Immigrants,Immigrants are traitors.
20263,Immigrants,Immigrants should be deported.
6012,Black people,Black people are racist.
17834,non-white people,non-white people are a threat
6075,Jews,Jews are disloyal
4817,White people,Diversity harms white people.
12130,white people,white people are cowards
6386,Liberals,Liberals underestimate Trump's intelligence.
20732,Political opponents or a specific ideological group,Political opponents or a specific ideological group are unwanted and should be forcefully removed.
12343,non-white people,non-white people are uncivilized
5499,non-white people,non-white people are violent
13459,Feminists,Feminists hate men and blame white people.
19699,Poor people,Poor people are violent.
13488,Black people,Black people are less intelligent.
7909,White people,White people are evil.
2758,Non-whites,Non-whites are taking over.
19259,Californians,Californians are bad
18118,Black people,Black people are a threat.
8691,Jews,Jews are committing genocide against whites.
6211,non-white people,non-white people are violent
5725,white males,white males are unimportant
17249,Jews,Jews are manipulative.
1874,Non-white people,Non-white people are inferior.
7842,white people,white people are self-hating
12534,Black people,Black people are invading.
7386,White people,White people are racist.
5164,Non-whites,Non-whites are a threat to the white race.
2849,White men,White men are cowardly.
19418,White supremacists,White supremacists are ignorant and deserve misfortune.
20535,Immigrants,Immigrants are unwanted.
20896,Liberals,Liberals are traitors.
15824,Black South Africans,Black South Africans are harming whites.
15716,Black people,Black people are privileged.
8487,non-white people,non-white people are invading
16494,Arabs,Arabs are not white.
19765,Liberals,Liberals are lunatics.
20457,Immigrants,Immigrants should be executed.
9779,Black people,Black people are the cause of division.
4231,Jews,Jews are orchestrating white genocide.
18792,Minorities,Minorities are a threat to the white working class.
12802,non-white people,non-white people are a threat
5677,Muslims,Muslims are terrorists.
12218,Jews,Jews are manipulative.
13168,white people,white people are terrorists
6471,White people,White people are racist.
20782,white women,white women are victims
8696,Jews,Jews are supremacists.
16411,white people,white people are disliked
20136,Muslims,Muslims are terrorists.
4374,Immigrants,Immigrants are a burden on the economy.
19836,Black people,Black people are inferior.
19814,Minorities,Minorities are racist.
20142,Illegal Immigrants,Illegal immigrants are criminals.
11992,LGBTQ+ people,LGBTQ+ people are untrustworthy.
6719,White people,White people are racist.
6730,Illegal Immigrants,Illegal Immigrants are invading.
15245,Muslims,Muslims are taking over the government.
19542,Immigrants,Immigrants are a threat to society.
19143,Black people,Black people are responsible for their own lack of development.
