post_id,target,implied_statement
12081,White folks,White folks are under attack
11958,Catholics & Jews,Catholics & Jews are inferior
16036,Syrian refugees,Syrian refugees commit sexual assault
19525,Homeless people,Homeless people are unintelligent and incapable of integrating into society
16109,White nationalists,White nationalists are toxic
6873,Jews,Jews manipulate their identity for their own benefit
14563,Non-white males,Non-white males should be ashamed
19917,Minorities,Minorities are accused of racism for anything.
20182,Immigrants,Immigrants commit crimes
4220,Non-white folks,Non-white folks kill within their own groups
20779,White folks,White folks are intolerant of diversity.
20407,Immigrants,Immigrants are a financial burden
5322,Immigrants,Immigrants cause the end of the West
6651,White people,White people are unfairly criticized for maintaining their lands and culture
20788,People of any race or gender,Some people are evil and need to be eliminated.
14006,Jews,Jews are conspirators
17831,White people,White people are not allowed to be proud of their race and culture
17794,Blacks,Blacks commit more crimes
9250,Native Americans,Native Americans are not the original inhabitants of America
19156,Immigrants,Immigrants are dirty
4097,White supremacists,White supremacists are associated with hate groups
9429,Non-white Americans,Non-white Americans are a threat
2643,Non-white folks,Non-white folks do not grow up
7963,White folks,White folks have guilt
2692,Indians,Indians are untrustworthy
11088,Jews,Jews demand attacking white racial interests and supporting Israel.
12227,Jews,Jews are white
3260,Immigrants,Immigrants cause accidents
10268,Jews,Jews manipulate and steal money
20147,Immigrants,Immigrants are illegal
8723,Jews,Jews are targeted for hate
5551,BLM supporters,BLM supporters are against you
19834,Jews,Jews are supposed to be clever
1661,White people,White people are losing dominance
20638,Vandals,Vandals should be hunted
11235,White people,White people are loathed by Jeb
20873,Jews,Jews should be killed
6270,Immigrants,Immigrants cause droughts
11927,Non-white people,Non-white people are inferior
8658,White folks,White folks are diminished
4831,Muslims,Muslims are filled with hate
14395,Non-white folks,Non-white folks are not good
11095,Jews,Jews are easily identified by mere assertion
4358,White males,White males are undeserving of hero status
19123,Immigrants,Immigrants are a burden
18126,Black folks,Black folks hate white people
7117,Black Lives Matter (BLM) supporters and Antifa,BLM and Antifa are terrorists
18227,Muslims,Muslims are racist
9281,White folks,White folks are the problem and need to be chased down
4034,Non-white immigrants,Non-white immigrants are a threat to white identity
20128,Immigrants,Immigrants cause problems
3779,White folks,White folks are nauseating
18275,Jews,Jews are manipulative
19953,LGBTQ+ individuals,LGBTQ+ individuals are not entitled to marriage rights
18300,Non-white immigrants,Non-white immigrants cause white genocide
20580,Immigrants,Immigrants are unwanted and uncivilized
2701,Jews,Jews are responsible for the problems in the world
19533,Immigrants,Immigrants are unwanted
19812,Immigrants,Immigrants have many children quickly
10017,Southern Poverty Law Center,Southern Poverty Law Center are dangerous
5539,Non-white folks,Non-white folks oppress whites
16318,Black people,Black people are not associated with trailer parks
17273,White race-traitors,White race-traitors are disloyal
20008,Jews,Jews are dirty
9468,Black folks,Black folks are racists
18667,Black folks,Black folks are violent
998,Black folks,Black folks are harmless
12309,Somalis,Somalis commit crimes
5918,Muslims,Muslims condone violent actions
6136,Muslims,Muslims are violent
3429,Muslims,Muslims commit violence
19641,Muslims,Islam creates monsters
16225,Muslims,Muslims are a problem
3209,Antifa groups,Antifa groups cause incidents
6654,Central Asian Turkic peoples,Central Asian Turkic peoples are not white
965,Black folks,Black folks are less important
17915,Blacks and Browns,Blacks and Browns are violent and hateful
7904,Blacks,Blacks should not date whites
4744,Liberals,Liberals are degenerate
8595,Non-white folks,Non-white folks have hatred for white people
3156,Non-white immigrants,Non-white immigrants commit violent crimes
13137,Jews,Jews are inferior
19861,Immigrants,Immigrants are associated with drug trafficking
17776,Mexicans,Mexicans are illegal immigrants
2590,Non-white women,Non-white women abort
12264,Muslims,Muslims are misogynistic
6178,Non-white people,Non-white people are not part of the nation
15269,Jews,Jews are deceptive
169,Black folks,Black folks do not belong in Estonia
13805,Whites,Whites are losing their supremacy
12315,White people,White people are a threat
8805,Jews,Jews dominate
7520,White people,White people have not contributed to advancing the human race
7341,Jews,Jews are white
14228,Jews,Germans will rise again
9367,White people,White people are hated
19921,Non-Indian immigrants,"Non-Indian immigrants are not family focused, hard-working, or ambitious"
8191,Non-white folks,Non-white folks promote multiculturalism
12905,Democrats,Democrats hate white people
11698,Mexican immigrants,Mexican immigrants are a threat
3214,Muslims,Muslims are violent
20839,Furries,Furries are animals
4646,Jews,Jews are biased against whites
5837,Antifa,Antifa are violent extremists
8145,White men,White men are not wanted as representatives.
3073,Black folks,Black folks are influenced by identity politics
10927,Black folks,Black folks are rebellious
15049,White folks,White folks are discriminated against
10520,Jews,Jews are victorious
7888,Non-white folks,Non-white folks are inferior
20158,Immigrants,Immigrants are unwanted and should be removed
8986,White folks,White folks are not valued
1054,Jews,Jews promote white privilege
3907,Immigrants,Immigrants cause problems
7005,White race,White people are evil
14880,Non-white people,Non-white people are a threat
20539,LGBTQ+ folks,LGBTQ+ folks have AIDS
16476,Italians,Italians are not white
10958,Whites,Whites are targeted for extinction
10921,White people,Non-white people are attacking symbols of white culture and will commit mass murder of whites.
16426,Jews,Jews are deceptive
14471,Womanists,Womanists are not factual
18005,Jews,Jews are enemies
11759,Muslims,Muslims have evil laws
2400,Non-white people,Non-white people are hated
847,Non-white folks,Non-white folks are less competent
13820,Jews,Jews are hateable
16567,Jews,Jews hate white males
16539,white people,white people are being attacked
19396,Black folks,Black folks are incapable of governing themselves
705,Liberals,Liberals are hypocritical
1274,Black folks,Black folks kill each other
17254,White folks,White folks are being destroyed
12706,Non-white people,Non-white people are inferior
18545,Non-white folks,Non-white folks cause the decline of white society
18267,Jews,Jews are hated
10862,Non-white folks,Non-white folks are racist against white people
19554,Muslims,Muslims are uncivilized
16817,Black folks,Black folks make whites uncomfortable
18003,Jews,Jews are against whites
7098,Immigrants,Immigrants are undeserving
19886,Disabled people,Disabled people are inferior
7048,Jews,Jews are hypocritical
16214,Black folks,Black folks do not love America
11694,Non-whites,Non-whites favor their own ethnic groups over the whole.
6567,White people,White people are a result of a genetic mutation
879,Non-white folks,Non-white folks are inferior
20010,Immigrants,Immigrants are transient and need to be prepared to move quickly.
16564,Non-white people,Non-white people are undeserving
15303,Non-white folks,Non-white folks are numerous compared to white folks
15424,Jews,Jews control the media
7550,Muslims,Muslims are subject to bigotry
2455,Non-whites,Non-whites are violent
20306,Immigrants,Immigrants are illegal
10219,Jews,Jews support white nationalism
5111,Non-Aryans,Non-Aryans are inferior
20196,Immigrants,Immigrants commit crimes
3270,Jews,Jews are responsible for white guilt
6463,White people,White people are under attack by anti-white racists.
2836,White people,White people are pathologically altruistic
16633,Alt-right supporters,Alt-right supporters are me
16096,Jews,Jews are a threat
9737,Black folks,Black folks have lower IQ
13741,Non-white folks,Non-white folks are a threat to the establishment
20683,Immigrants,Immigrants commit crimes
6848,White folks,White folks are ignorant
10904,Muslims and Black folks,Muslims and Black folks are racist
20114,Immigrants,Immigrants do not belong here
183,Black folks,Black folks hate white people
13012,People from certain countries,People from certain countries commit heinous acts
20331,Immigrants,Immigrants are parasitic
19789,Immigrants,Immigrants have tuberculosis
7935,Non-white folks,Non-white folks are inferior
16883,Muslims,Muslims disregard the constitution
19623,Black folks,Black folks are incompetent
8694,White people,White people are privileged
10989,Non-white folks,Non-white folks are less valued
6462,Non-white folks,Non-white folks are not enough
5973,Muslims,Muslims kill Jews
5435,Black folks,Black folks are violent and mentally unstable
760,Jews,Jews are changing the racial demographics of America
17674,Muslims,Muslims commit violent acts
20251,Immigrants,Immigrants commit crimes
10966,Jews,Jews are protected by anti-semitism laws
19410,Orthodox Muslims,Orthodox Muslims are bad
4726,Jews,Jews have excessive influence in politics
16087,Asian folks,Asians are mentally superior
19758,Immigrants,Immigrants take advantage of the system
6438,Jews,Jews control the media
12355,white people,white people are doomed
19376,White folks,White folks have lower birth rates
19502,People living in poverty,People living in poverty have no background
3638,Non-white folks,Non-white folks are inferior
19273,Africans,Africans are primitive and diseased
17025,White men,White men are disadvantaged
11433,Black folks,Black folks work in fields
19646,Refugees,Refugees are parasites
4858,Jews,Jews are greedy
15284,White people,White people are being eliminated
15274,Immigrants,Immigrants take jobs
18516,Muslims,Muslims commit sexual assault
6318,Blacks,Blacks are violent and power hungry
19416,Muslims,Muslims are mentally deficient
19774,Immigrants,Immigrants do not belong here
19852,Muslims,Muslims have a twisted afterlife.
580,Non-white folks,Non-white folks are undesirable
17129,Muslims,Muslims teach kids to hate and kill
10240,White people,White people are unfairly blamed
5483,Christians,Christians support molestation
10920,Muslims,Muslims teach violent ideology
18258,White folks,White folks are being targeted for elimination
403,Jews,Jews lie about the Holocaust
20724,Immigrants,Immigrants are uncivilized
2942,Whites,Whites are insensitive to racism
7468,Non-white folks,Non-white folks are anti-white
20690,Immigrants,Immigrants should stay in their own country
3823,Mexicans,Mexicans are opportunistic
14863,Liberals,Liberals are delusional
11910,Non-white people,Non-white people are not included in MAGA
10917,Black folks,Black folks commit high crime rates
15760,Muslims,Muslims commit violent acts
4368,Black folks,Black folks are hypocritical
19262,white people,white people are incapable of menial tasks
14211,LGBT,LGBT are not loved by us
19380,Immigrants,Immigrants are parasites
19701,Black folks,Black folks are dangerous
14709,Immigrants,Immigrants commit crimes
12673,Non-white individuals,Non-white individuals are unattractive to white men
14164,Muslims,Muslims commit hate crimes against Jews
15254,Non-white folks,Non-white folks are inferior
17456,Jews,Jews are responsible for the lack of attention to the abuse of white women
9713,non-white folks,non-white folks make false claims
1763,White people against illegal immigration,White people against illegal immigration are racist
1828,Muslims,Muslims have many wives and children
3591,Muslims,Muslims are violent
462,White people,White people are violent
7734,White people,White people are self-destructive
7120,Non-white individuals,Non-white individuals commit rape and force white women into marriage and kill their own for race mixing
10926,Non-whites,Non-whites take advantage and hate out of envy
20279,Latino/Latina folks,Latino/Latina folks are criminals
19330,Muslims,Muslims are incompatible with Western society
1131,Muslims,Muslims are being politically manipulated
19884,Georgie,Georgie is an exception to every rule
20557,Immigrants,Immigrants are a burden
6425,Black folks,Black folks perform oral sex
20468,Muslims,Muslims enforce extreme punishments
14597,Non-white immigrants,Non-white immigrants are a threat
16955,Black folks,Black folks are incapable
11678,Blacks and Hispanics,Blacks and Hispanics are violent
121,African refugees,African refugees commit sexual assault
19511,Nonwhite people,Nonwhite people are uncivilized
7519,White folks,Anti-racists are anti-white
12394,Southerners,Southerners are inferior
12724,Jews,Jews are behind negative actions
19819,Peshmerga women,Peshmerga women are violent
19130,Immigrants,Immigrants are parasites
164,Black folks,Black folks are oppressive
573,Jews,Jews are not white
908,Muslims,Muslims kill people
1732,Jews,Jews need a champion
6313,White males,White males are not serial killers
12558,Jews,Jews are hypocritical
11888,Black folks,Black folks are impersonated by white people
17897,Non-white people,Non-white people are a threat
12310,Non-European homeless people,Non-European homeless people have inferior genetics
16217,Muslims,Muslims kill unarmed people
6282,Middle Easterners,Middle Easterners fabricate hate crime hoaxes
7102,Immigrants,Immigrants are undesirable
19674,Immigrants,Immigrants are worthless parasites
4178,Muslims,Muslims have many children and are a burden
19148,Muslims,Muslims are low IQ and inbred
639,Muslims,Muslims are unwanted
19750,Indigenous people,Indigenous people are savage
3931,Non-white folks,Non-white folks are inferior
20343,Immigrants,Immigrants should be forcibly removed
5552,Jews,Jews are not worthy of care
9521,Liberals,Liberals are intolerant of opposing views
16821,Jews,Jews exaggerate their suffering
51,Muslims,Muslims impose sharia finance
20093,Homeless people,Homeless people are unhygienic and unattractive
20626,Immigrants,Immigrants are a burden
20208,Immigrants,Immigrants are criminals
14733,White South Africans,White South Africans are victims of racial violence
5806,white people,white people steal
20312,Immigrants,Immigrants are unwanted
1570,Non-white people,Non-white people are threatening
16516,White people,White people commit genocide
19027,Non-white folks,Non-white folks plot genocide against white race
14240,Immigrants,Immigrants are threats
13725,Iranians,Iranians are violent
20682,Immigrants,Immigrants disrespect the USA
12608,Non-white people,Non-white people are a threat
16613,Mexicans,Mexicans are a threat
19469,Protesters,Protesters are violent and unintelligent
15112,Muslims,Muslims are not white
9491,White people,White people are oppressive
7800,Black folks,Black folks are targeted for genocide
14732,White folks,White folks hate themselves
19328,Brown men,Brown men ruin their countries
5282,Black folks,Black folks are inferior with human rights
12350,Liberals,Liberals are cultural marxists
14017,Muslims,Muslims commit murder
18409,Confederate sympathizers,Confederate sympathizers are victims of historical erasure
13039,Non-white immigrants,Non-white immigrants cause conflict
9242,Muslims,Muslims kill people
436,White people,White people are bad
16711,Jews,Jews control politicians
9848,Immigrants,Immigrants are a risk to the country's future
20086,Black folks and Mexican immigrants,Black folks and Mexican immigrants are less desirable
2042,Black folks,Black folks commit violence against each other
20515,Immigrants,Immigrants rely on government assistance
1288,Black folks,Black folks are violent
7887,Muslims,Muslims commit violent acts
20495,Immigrants,Immigrants should be deported
2536,Whites,Whites are collaborators in our demise
18996,Non-white people,Non-white people are undesirable
20261,Immigrants,Immigrants sneak back in
8016,People of color,People of color are not patriotic
9608,Nonwhites,Nonwhites can't be European pagans
9515,Non-white people,Non-white people are not smart
7385,Jews,Jews are hostile
19626,Muslims and Latinos,Muslims and Latinos are feral and are replacing whites
19827,Jews,Jews control the media
3054,White people,They are hated
3398,Immigrants,Immigrants are dependent on welfare
19730,Immigrants,Immigrants have poor English skills and come from incestuous families
11443,White race,White race are vulnerable
20333,Immigrants,Immigrants kill cattle
6596,rural working white men,rural working white men are obsolete
19597,Immigrants,Immigrants are burdens
14787,Muslims,Muslims are potential terrorists
19189,Immigrants,Immigrants are animals
1919,Communists,Communists are traitors
5220,Black folks,Black folks commit crimes
10884,Antifa,Antifa are terrorists
14934,Nonwhite people,Nonwhite people commit murder and rape against white women
12642,Jews,Jews are associated with white supremacy
12323,White folks,White folks are under attack
5890,Non-white people,Non-white people are overly sensitive
3896,Palestinians,Palestinians kill Jews
18591,Non-white people,Non-white people did not contribute to the founding and building of America
5026,Muslims,Muslims are a threat
20714,Immigrants,Immigrants are unwanted
16317,Immigrants,Immigrants kill people
11774,non-whites,non-whites are inferior
4396,Non-white folks,Non-white folks are inferior
14268,Non-white people,Non-white people cause race wars
14089,Jews,Jews are unfit
17990,Jews,Jews exploit the Holocaust for their benefit
3204,Non-white folks,Non-white folks are a threat
2857,white working class communities,white working class communities are undeserving
15698,Mexican immigrants,Mexican immigrants take money from America
11094,Non-white folks,Non-white folks are a threat
375,Muslims,Muslims are invading
5847,Non-white Americans,Non-white Americans are a threat
7165,Non-white people,Non-white people are inferior
7130,Non-white people,Non-white people do not survive
19551,Immigrants,Immigrants are illegal
12069,Non-white people,White nationalists are defining their national identity against non-white people.
10120,Ethnic Norwegians,Ethnic Norwegians are invaders
11541,Jews,Prominent Jews are not ordinary working class or white collar.
9942,white southerners and all white people,white southerners and all white people are bashed by the liberal left
795,Jews,"Jews control the government, media, and banking"
13748,Mexicans,Mexicans are a threat
7580,Non-white people,Non-white people commit murder and rape against white women
20710,Muslims,Muslims are dangerous
15046,Non-white folks,Non-white folks are undesirable for interracial relationships
20255,Immigrants,Immigrants need to be removed
20219,Illegal immigrants,Illegal immigrants take advantage of U.S. taxpayers
8077,Immigrants,Immigrants are a burden
5544,White people,White people are despised
20207,Refugees,Refugees are associated with ISIS
16670,Jews,Jews are not a real ethnic group
20081,"Multiple groups including Italians, White people, Mexicans, Jews, and Black people","Italians, White people, Mexicans, Jews, and Black people are defined by stereotypical labels"
18438,White Americans,White Americans are losing power
18051,Jews,Jews are white supremacists
3372,Black folks,Black folks are a threat to white people
16791,Non-Americans,Non-Americans are inferior
6915,Jews,Jews are weak
13071,non-white immigrants,non-white immigrants commit violence
20458,Immigrants,Immigrants are criminals
1541,Non-white folks,Non-white folks are a threat
13159,Non-Aryans,Non-Aryans are inferior
10430,Non-whites,Non-whites need welfare
20301,Politicians,Politicians are harmful
14435,Non-Aryans,Non-Aryans are not invited
8485,Non-white people,Non-white people commit crimes
19613,Black folks,Black folks are ignored
13587,Immigrants,Immigrants are illegal
3213,Jews,Jews are manipulative
9380,Non-white folks,Non-white folks are insignificant
14719,Non-white people,Non-white people are less capable of achieving significant medical advancements
821,Black folks,Black folks are responsible for failures
19117,Mathematicians,Mathematicians cause trouble and spread ignorance.
11356,Non-white people,Non-white people are inferior
12984,non-whites,non-whites help their own
2808,People receiving food stamps,People receiving food stamps are a burden on taxpayers
1198,White people,White people are persecuted
12810,White Americans,White Americans are disliked
11935,Non-white folks,Non-white cultures are inferior
16464,Immigrants,Immigrants are necessary to support the economy
12057,Jews,Jews have an anti-white agenda
1169,African immigrants,African immigrants are threatening
783,People of color,People of color are targeted by racist Christians on the alt right
17863,Jews,Jews are not white
17827,Immigrants,Immigrants do not deserve what ancestors built
19651,Black folks,Black folks are uneducated
7009,Whites,Whites are being displaced
3631,Non-white people,Non-white people are harmful to Europe
20050,Transgender men,Transgender men are not masculine enough
12896,White people,White people are evil
13914,Alt-right anti-Semites,Alt-right anti-Semites are obsessed with homosexual practices
7995,Immigrants,Immigrants are on welfare
3717,Muslims,Muslims are dangerous
15493,White people,White people are under attack
19451,White people,White people should die out and be replaced
15561,Non-white people,Non-white people are a threat to white people
20716,Immigrants,Immigrants do as they please and burden others financially
5258,Black folks,Black folks are anti-American
1285,Non-white people,Non-white people are causing the decline of the white race
17994,White folks,White folks should not have pride in their race
9337,Non-white people,Non-white people threaten white identity
8576,Jews,Jews are saved by white supremacists
19813,Liberals,Liberals are overly sensitive
9288,Minorities,Minorities are the cause of societal problems
12878,Non-white folks,Non-white folks are inferior
19435,Muslims,Muslims are evil
254,White people,White people are being targeted for genocide
11509,Black men,Black men are sexually attracted to overweight white women
12925,Non-white folks,Non-white folks are inferior
12067,Black folks,Black folks lie
12352,Non-white southerners,Non-white southerners are incapable of fighting for white existence
16443,Black folks,Black folks are dependent
20263,Immigrants,Immigrants should be removed
6012,Black people,Black people are more racist
17834,White folks,White folks are declining
6075,Jews,Jews have undue influence over the government
12130,white people,white people are scared
6386,Trump,Trump is unintelligent
20732,Immigrants,Immigrants should be removed
12343,Non-white folks,Non-white folks are less civilized and prosperous
13459,feminists,feminists hate men and blame the white race for everything wrong
19699,Lower-income individuals,Lower-income individuals are uncivilized and aggressive
13488,Black men and women,Black men and women are less intelligent
7909,White people,White people are evil
19259,Californians,Californians are undesirable
18118,Black folks,Black folks are a threat
8691,Jews,Jews are responsible for white genocide
6211,White people,White people are targeted for harm.
5725,white males,white males' views do not matter
17249,Jews,Jews are controlling and manipulative
1874,Non-white people,Non-white people are inferior
7842,White folks,White folks are self-hating
12534,Black folks,Black folks are a burden
7386,white supremacists / separatists / nationalists,white supremacists / separatists / nationalists are present and active
5164,Non-white people,Non-white people are a threat to the white race
2849,white men,white men are scared
19418,Black folks,Black folks are uneducated and ignorant
20535,Immigrants,Immigrants are unwanted
20896,Liberals,Liberals are unpatriotic and weak
15824,Black South Africans,Black South Africans are a threat
15716,White folks,White folks are made to feel guilty
8487,Non-white immigrants,Non-white immigrants are unwanted
16494,Arabs,Arabs are not considered white
19765,Liberals,Liberals are violent and irrational
9779,Southerners,Southerners cause division
4231,Jews,Jews are orchestrating demographic changes and advocating for harm against whites while suppressing dissent.
12218,Jews,Jews control the media
13168,Christian white nationalists,Christian white nationalists are terrorists
20782,white women,white women are shooters
8696,Jews,Jews are supremacists
20136,Muslims,Muslims are terrorists
20142,Immigrants,Immigrants are criminals
11992,LGBTQ+ folks,LGBTQ+ folks are untrustworthy
6719,Jews,Jews are argumentative
6730,Immigrants,Immigrants are invading
15245,Muslims,Muslims are infiltrating the government
19542,Immigrants from third world countries,Immigrants from third world countries destroy western civilization
7246,Non-white people,Non-white people are displacing whites
12230,Non-white people,Non-white people are not responsible for building America
523,Jews,Jews are manipulative
932,White people,White people are unfairly targeted by hate groups
12861,White folks,White folks are being systematically eliminated.
13793,Non-white folks,Non-white folks are inferior
3584,Muslims,Muslims are dangerous
16029,Non-white people,Non-white people are excluded
4696,Immigrants,Immigrants undermine social cohesion
6126,Jews,Jews are responsible for genocide and mass murder
9143,Black folks,Black folks do not matter
19347,Chinese,Chinese have overpopulation problems
1076,Non-white people,Non-white people are a threat
9983,Non-white folks,Non-white folks are a threat
19272,Black folks,Black folks are untrustworthy
16870,Conservatives,Conservatives are weak
10021,Non-white people,Non-white people are causing the decline of the white race
9861,Jews,Jews benefit from white nationalism
14800,Black folks,Black folks cause societal decline
3678,Non-white people,Non-white people are a threat
12058,Chinese asylum seekers,Chinese asylum seekers are deceptive and a threat
20623,Immigrants,Immigrants are criminals and a financial burden
20657,People with mental health issues,People with mental health issues are unstable
3690,Muslims,Muslims do not vote for BJP
18086,African migrants,African migrants take over property
12815,Non-white folks,Non-white folks are hateful towards white people
8509,Iranians,Iranians are worse than the Islamic State
78,White folks,Anti-racists are anti-white
477,White people,White people are privileged
6093,Jews,Jews are conspirators
2742,White people,White people are incestuous
16623,South African police,South African police commit rape
3447,Jews,Jews push wars
6964,Refugees,Refugees are undeserving
5325,White folks,White folks are denigrated by their own people
10183,Immigrants,Immigrants bring drugs
17257,Muslims,Muslims are dangerous
8896,Non-white folks,Non-white folks are inferior
10581,Mexicans,Mexicans are inferior
14625,Immigrants,Immigrants move into other countries
18632,Mormons,Mormons are white and reproduce quickly
4848,Conservatives,Conservatives are hypocritical
17931,Liberals,Liberals are scumbags
685,White folks,White folks are racist
20210,Immigrants,Immigrants are illegal
16671,Muslims,Muslims are taking over America
3604,White school teachers,White school teachers are overrepresented
19325,Immigrants,Immigrants are not worthy of representation
15746,Non-Europeans,Non-Europeans are a threat to European identity
5131,Muslims,Muslims kill all other months
6574,Jews,Jews are opportunistic and manipulative
11819,Jews,Jews are hostile and contemptuous towards whites
2990,Muslims,Muslims are a threat
6760,Black males,Black males kill cops
12515,Non-white people,Non-white people are uncivilized
8278,White males,White males are being erased
2773,Non-white folks,Non-white folks are a threat
8849,Jews,Jews are hypocrites
17972,Black folks,Black folks are dangerous
16218,Jews,Jews plan genocide
1560,Non-white people,Non-white people are not intelligent
12868,Black folks,Black folks kill each other
5691,Muslims,Non-Muslims are unlovable
13632,Muslims,Muslims kill Christians and Jews
20288,Immigrants,Immigrants are illegal
918,Muslims,Muslims are criminals
10600,Black males,Black males hate women
